collection_chunk_id,chunk_rank_start,chunk_rank_end,fortune_rank_2025,company_name,ticker,cik,cik_padded,target_report_year,form_type,filing_date,report_date,accession_number,primary_document,sec_filing_url,sec_document_url,local_html_path,local_text_path,download_status,failure_reason,total_words,ai_keyword_count,ai_keyword_per_10k_words
1,1,25,12,JPMorgan Chase,JPM,19617,0000019617,2023,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
1,1,25,12,JPMorgan Chase,JPM,19617,0000019617,2024,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
1,1,25,17,Meta Platforms,META,1326801,0001326801,2023,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
1,1,25,20,Bank of America,BAC,70858,0000070858,2023,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
1,1,25,20,Bank of America,BAC,70858,0000070858,2024,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
1,1,25,24,Citigroup,C,831001,0000831001,2023,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
1,1,25,24,Citigroup,C,831001,0000831001,2024,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
2,26,50,32,State Farm Insurance,,,,2023,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
2,26,50,32,State Farm Insurance,,,,2024,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
2,26,50,32,State Farm Insurance,,,,2025,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
2,26,50,36,Goldman Sachs Group,GS,886982,0000886982,2023,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
2,26,50,36,Goldman Sachs Group,GS,886982,0000886982,2024,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
2,26,50,38,Wells Fargo,WFC,72971,0000072971,2023,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
2,26,50,39,Morgan Stanley,MS,895421,0000895421,2023,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
2,26,50,39,Morgan Stanley,MS,895421,0000895421,2024,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
3,51,75,62,New York Life Insurance,,,,2023,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
3,51,75,62,New York Life Insurance,,,,2024,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
3,51,75,62,New York Life Insurance,,,,2025,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
3,51,75,69,Nationwide,,,,2023,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
