collection_chunk_id,chunk_rank_start,chunk_rank_end,fortune_rank_2025,company_name,ticker,cik,cik_padded,target_report_year,form_type,filing_date,report_date,accession_number,primary_document,sec_filing_url,sec_document_url,local_html_path,local_text_path,download_status,failure_reason,total_words,ai_keyword_count,ai_keyword_per_10k_words
3,51,75,69,Nationwide,,,,2024,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
3,51,75,69,Nationwide,,,,2025,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
3,51,75,72,Publix Super Markets,,,,2023,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
3,51,75,72,Publix Super Markets,,,,2024,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
3,51,75,72,Publix Super Markets,,,,2025,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,76,Galaxy Digital,GLXY,1859392,0001859392,2023,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
4,76,100,76,Galaxy Digital,GLXY,1859392,0001859392,2024,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
4,76,100,90,Ingram Micro Holding,INGM,1897762,0001897762,2023,10-K,,,,,,,,,missing,no_10k_for_target_report_year,0,0,0.0
4,76,100,93,USAA,,,,2023,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,93,USAA,,,,2024,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,93,USAA,,,,2025,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,94,TIAA,,,,2023,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,94,TIAA,,,,2024,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,94,TIAA,,,,2025,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,95,Liberty Mutual Insurance Group,,,,2023,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,95,Liberty Mutual Insurance Group,,,,2024,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,95,Liberty Mutual Insurance Group,,,,2025,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,100,Massachusetts Mutual Life,,,,2023,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,100,Massachusetts Mutual Life,,,,2024,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
4,76,100,100,Massachusetts Mutual Life,,,,2025,,,,,,,https://data.sec.gov/submissions/CIK.json,,,failed,submissions_fetch_failed: HTTPError: HTTP Error 404: Not Found,0,0,0.0
