run_id,head_sha,chunk_id,artifact_id,artifact_name,expected_sha256,calculated_sha256,sha256_match,artifact_size_in_bytes,manifest_rows,audit_rows,html_files,txt_files,success_rows,missing_rows,failed_rows,unavailable_rows,status_counts
27272856688,977c3a3bcd61d475cfef83fc7e80bca345ebf467,1,7534279269,fortune2025-top100-10k-chunk-1,84660228faeaae4caf91d1434313923d51f05ab7c26209b84352c5d06554614e,84660228faeaae4caf91d1434313923d51f05ab7c26209b84352c5d06554614e,TRUE,28017152,75,7,68,68,68,7,0,0,missing=7; success=68
27272856688,977c3a3bcd61d475cfef83fc7e80bca345ebf467,2,7534281718,fortune2025-top100-10k-chunk-2,c5f79df002d9a76149324e4eae696127c893b00e2ae7a195d6b8a853d7f86088,c5f79df002d9a76149324e4eae696127c893b00e2ae7a195d6b8a853d7f86088,TRUE,30635674,75,8,67,67,67,5,3,0,failed=3; missing=5; success=67
27272856688,977c3a3bcd61d475cfef83fc7e80bca345ebf467,3,7534279664,fortune2025-top100-10k-chunk-3,bc2780a76eff9db70e3fab90a6cfd8b0455aed1b85f761cd44025f5f8178f7db,bc2780a76eff9db70e3fab90a6cfd8b0455aed1b85f761cd44025f5f8178f7db,TRUE,29098101,75,9,66,66,66,0,9,0,failed=9; success=66
27272856688,977c3a3bcd61d475cfef83fc7e80bca345ebf467,4,7534276733,fortune2025-top100-10k-chunk-4,804f4547489e0750b9d34def89943fe15a4ac8477598069bf3814c2f5e4b537a,804f4547489e0750b9d34def89943fe15a4ac8477598069bf3814c2f5e4b537a,TRUE,27064624,75,15,60,60,60,3,12,0,failed=12; missing=3; success=60
27272856688,977c3a3bcd61d475cfef83fc7e80bca345ebf467,ALL,,ALL_CHUNKS,,,,114815551,300,39,261,261,261,15,24,0,failed=24; missing=15; success=261
