fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,topic_5_count,topic_5_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share,k
30,Marathon Petroleum,MPC,0001510295,2024,5,0,0.0,0,0.0,1,0.2,4,0.8,0,0.0,0,0.0,2,0.4,12,2.4,2,0.4,9,1.8,5,1.0,6
30,Marathon Petroleum,MPC,0001510295,2025,5,0,0.0,0,0.0,1,0.2,4,0.8,0,0.0,0,0.0,2,0.4,12,2.4,2,0.4,9,1.8,6,1.2,6
33,Freddie Mac,FMCC,0001026214,2023,15,2,0.133333,0,0.0,2,0.133333,9,0.6,0,0.0,2,0.133333,3,0.2,62,4.133333,6,0.4,40,2.666667,11,0.733333,6
33,Freddie Mac,FMCC,0001026214,2024,18,3,0.166667,0,0.0,2,0.111111,11,0.611111,0,0.0,2,0.111111,6,0.333333,80,4.444444,5,0.277778,46,2.555556,17,0.944444,6
33,Freddie Mac,FMCC,0001026214,2025,19,2,0.105263,0,0.0,2,0.105263,11,0.578947,1,0.052632,3,0.157895,4,0.210526,65,3.421053,4,0.210526,48,2.526316,11,0.578947,6
34,Humana,HUM,0000049071,2024,3,0,0.0,0,0.0,1,0.333333,1,0.333333,1,0.333333,0,0.0,4,1.333333,14,4.666667,0,0.0,19,6.333333,18,6.0,6
34,Humana,HUM,0000049071,2025,6,2,0.333333,0,0.0,1,0.166667,3,0.5,0,0.0,0,0.0,7,1.166667,15,2.5,0,0.0,25,4.166667,22,3.666667,6
35,AT&T,T,0000732717,2023,5,0,0.0,0,0.0,1,0.2,2,0.4,0,0.0,2,0.4,8,1.6,9,1.8,0,0.0,11,2.2,4,0.8,6
35,AT&T,T,0000732717,2024,7,0,0.0,2,0.285714,1,0.142857,2,0.285714,0,0.0,2,0.285714,9,1.285714,17,2.428571,7,1.0,11,1.571429,7,1.0,6
35,AT&T,T,0000732717,2025,14,1,0.071429,3,0.214286,1,0.071429,3,0.214286,2,0.142857,4,0.285714,16,1.142857,26,1.857143,11,0.785714,24,1.714286,11,0.785714,6
36,Goldman Sachs Group,GS,0000886982,2023,19,3,0.157895,0,0.0,6,0.315789,9,0.473684,0,0.0,1,0.052632,6,0.315789,53,2.789474,1,0.052632,22,1.157895,33,1.736842,6
36,Goldman Sachs Group,GS,0000886982,2024,32,9,0.28125,0,0.0,5,0.15625,13,0.40625,0,0.0,5,0.15625,24,0.75,87,2.71875,1,0.03125,45,1.40625,43,1.34375,6
36,Goldman Sachs Group,GS,0000886982,2025,38,8,0.210526,0,0.0,4,0.105263,18,0.473684,0,0.0,8,0.210526,28,0.736842,85,2.236842,1,0.026316,37,0.973684,40,1.052632,6
37,Comcast,CMCSA,0001166691,2023,5,0,0.0,1,0.2,1,0.2,1,0.2,0,0.0,2,0.4,4,0.8,8,1.6,8,1.6,3,0.6,2,0.4,6
37,Comcast,CMCSA,0001166691,2024,8,1,0.125,1,0.125,1,0.125,2,0.25,1,0.125,2,0.25,4,0.5,9,1.125,8,1.0,3,0.375,2,0.25,6
37,Comcast,CMCSA,0001166691,2025,10,3,0.3,1,0.1,1,0.1,2,0.2,0,0.0,3,0.3,5,0.5,17,1.7,17,1.7,4,0.4,2,0.2,6
38,Wells Fargo,WFC,0000072971,2025,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6
39,Morgan Stanley,MS,0000895421,2023,5,1,0.2,0,0.0,2,0.4,0,0.0,1,0.2,1,0.2,0,0.0,11,2.2,0,0.0,12,2.4,11,2.2,6
39,Morgan Stanley,MS,0000895421,2024,5,1,0.2,0,0.0,2,0.4,0,0.0,1,0.2,1,0.2,1,0.2,10,2.0,0,0.0,14,2.8,11,2.2,6
39,Morgan Stanley,MS,0000895421,2025,11,3,0.272727,0,0.0,4,0.363636,0,0.0,2,0.181818,2,0.181818,5,0.454545,33,3.0,0,0.0,35,3.181818,20,1.818182,6
40,Valero Energy,VLO,0001035002,2023,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,2,2.0,1,1.0,3,3.0,6
40,Valero Energy,VLO,0001035002,2024,3,0,0.0,0,0.0,2,0.666667,0,0.0,0,0.0,1,0.333333,2,0.666667,5,1.666667,1,0.333333,7,2.333333,6,2.0,6
40,Valero Energy,VLO,0001035002,2025,6,0,0.0,0,0.0,4,0.666667,1,0.166667,0,0.0,1,0.166667,4,0.666667,14,2.333333,0,0.0,16,2.666667,13,2.166667,6
41,Dell Technologies,DELL,0001571996,2023,11,0,0.0,5,0.454545,0,0.0,1,0.090909,3,0.272727,2,0.181818,7,0.636364,6,0.545455,1,0.090909,16,1.454545,12,1.090909,6
41,Dell Technologies,DELL,0001571996,2024,26,0,0.0,9,0.346154,0,0.0,4,0.153846,5,0.192308,8,0.307692,13,0.5,35,1.346154,1,0.038462,17,0.653846,22,0.846154,6
41,Dell Technologies,DELL,0001571996,2025,59,1,0.016949,10,0.169492,2,0.033898,10,0.169492,4,0.067797,32,0.542373,50,0.847458,74,1.254237,3,0.050847,54,0.915254,44,0.745763,6
42,Target,TGT,0000027419,2023,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,5,5.0,0,0.0,0,0.0,0,0.0,2,2.0,6
42,Target,TGT,0000027419,2024,4,1,0.25,0,0.0,1,0.25,0,0.0,0,0.0,2,0.5,3,0.75,11,2.75,2,0.5,10,2.5,1,0.25,6
42,Target,TGT,0000027419,2025,9,1,0.111111,0,0.0,1,0.111111,1,0.111111,3,0.333333,3,0.333333,3,0.333333,12,1.333333,3,0.333333,7,0.777778,3,0.333333,6
43,Tesla,TSLA,0001318605,2023,12,0,0.0,0,0.0,0,0.0,0,0.0,3,0.25,9,0.75,12,1.0,1,0.083333,2,0.166667,3,0.25,8,0.666667,6
43,Tesla,TSLA,0001318605,2024,23,1,0.043478,0,0.0,1,0.043478,0,0.0,3,0.130435,18,0.782609,20,0.869565,12,0.521739,2,0.086957,20,0.869565,18,0.782609,6
43,Tesla,TSLA,0001318605,2025,48,1,0.020833,4,0.083333,1,0.020833,0,0.0,18,0.375,24,0.5,37,0.770833,16,0.333333,16,0.333333,27,0.5625,58,1.208333,6
44,Walt Disney,DIS,0001744489,2023,3,0,0.0,0,0.0,0,0.0,2,0.666667,1,0.333333,0,0.0,1,0.333333,10,3.333333,2,0.666667,1,0.333333,2,0.666667,6
44,Walt Disney,DIS,0001744489,2024,7,1,0.142857,0,0.0,1,0.142857,3,0.428571,1,0.142857,1,0.142857,3,0.428571,20,2.857143,11,1.571429,5,0.714286,4,0.571429,6
44,Walt Disney,DIS,0001744489,2025,7,1,0.142857,0,0.0,1,0.142857,3,0.428571,2,0.285714,0,0.0,4,0.571429,18,2.571429,5,0.714286,6,0.857143,4,0.571429,6
45,Johnson & Johnson,JNJ,0000200406,2023,7,1,0.142857,0,0.0,1,0.142857,3,0.428571,1,0.142857,1,0.142857,4,0.571429,18,2.571429,0,0.0,19,2.714286,0,0.0,6
45,Johnson & Johnson,JNJ,0000200406,2024,6,1,0.166667,0,0.0,1,0.166667,3,0.5,1,0.166667,0,0.0,3,0.5,18,3.0,0,0.0,19,3.166667,0,0.0,6
45,Johnson & Johnson,JNJ,0000200406,2025,6,1,0.166667,0,0.0,1,0.166667,3,0.5,1,0.166667,0,0.0,3,0.5,18,3.0,0,0.0,19,3.166667,0,0.0,6
46,PepsiCo,PEP,0000077476,2023,8,1,0.125,0,0.0,2,0.25,0,0.0,0,0.0,5,0.625,11,1.375,10,1.25,1,0.125,11,1.375,8,1.0,6
46,PepsiCo,PEP,0000077476,2024,13,2,0.153846,0,0.0,2,0.153846,1,0.076923,1,0.076923,7,0.538462,17,1.307692,14,1.076923,2,0.153846,13,1.0,10,0.769231,6
46,PepsiCo,PEP,0000077476,2025,17,4,0.235294,0,0.0,2,0.117647,1,0.058824,2,0.117647,8,0.470588,14,0.823529,23,1.352941,2,0.117647,31,1.823529,16,0.941176,6
47,Boeing,BA,0000012927,2023,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,3,3.0,0,0.0,2,2.0,1,1.0,6
47,Boeing,BA,0000012927,2024,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,3,3.0,0,0.0,2,2.0,1,1.0,6
47,Boeing,BA,0000012927,2025,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,3,3.0,0,0.0,2,2.0,1,1.0,6
48,UPS,UPS,0001090727,2023,4,0,0.0,0,0.0,1,0.25,0,0.0,1,0.25,2,0.5,4,1.0,3,0.75,0,0.0,4,1.0,0,0.0,6
48,UPS,UPS,0001090727,2024,5,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,4,0.8,7,1.4,3,0.6,0,0.0,4,0.8,0,0.0,6
48,UPS,UPS,0001090727,2025,12,0,0.0,0,0.0,6,0.5,0,0.0,2,0.166667,4,0.333333,19,1.583333,12,1.0,0,0.0,34,2.833333,3,0.25,6
49,RTX,RTX,0000101829,2023,4,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,3,0.75,3,0.75,5,1.25,0,0.0,3,0.75,3,0.75,6
49,RTX,RTX,0000101829,2024,10,2,0.2,0,0.0,1,0.1,3,0.3,0,0.0,4,0.4,14,1.4,18,1.8,0,0.0,10,1.0,15,1.5,6
49,RTX,RTX,0000101829,2025,9,2,0.222222,0,0.0,1,0.111111,3,0.333333,1,0.111111,2,0.222222,5,0.555556,13,1.444444,0,0.0,10,1.111111,9,1.0,6
50,FedEx,FDX,0001048911,2023,8,3,0.375,1,0.125,0,0.0,0,0.0,2,0.25,2,0.25,7,0.875,10,1.25,0,0.0,16,2.0,10,1.25,6
50,FedEx,FDX,0001048911,2024,19,8,0.421053,0,0.0,2,0.105263,0,0.0,6,0.315789,3,0.157895,15,0.789474,29,1.526316,0,0.0,47,2.473684,22,1.157895,6
50,FedEx,FDX,0001048911,2025,19,8,0.421053,1,0.052632,2,0.105263,0,0.0,4,0.210526,4,0.210526,17,0.894737,28,1.473684,0,0.0,48,2.526316,21,1.105263,6
51,Progressive,PGR,0000080661,2023,17,6,0.352941,0,0.0,0,0.0,10,0.588235,0,0.0,1,0.058824,1,0.058824,4,0.235294,0,0.0,7,0.411765,16,0.941176,6
51,Progressive,PGR,0000080661,2024,17,2,0.117647,0,0.0,0,0.0,13,0.764706,2,0.117647,0,0.0,2,0.117647,5,0.294118,0,0.0,4,0.235294,13,0.764706,6
51,Progressive,PGR,0000080661,2025,18,2,0.111111,0,0.0,1,0.055556,15,0.833333,0,0.0,0,0.0,6,0.333333,11,0.611111,0,0.0,10,0.555556,17,0.944444,6
52,Lowe's,LOW,0000060667,2024,3,0,0.0,0,0.0,1,0.333333,0,0.0,0,0.0,2,0.666667,0,0.0,6,2.0,0,0.0,7,2.333333,2,0.666667,6
52,Lowe's,LOW,0000060667,2025,13,0,0.0,0,0.0,3,0.230769,3,0.230769,6,0.461538,1,0.076923,5,0.384615,41,3.153846,0,0.0,29,2.230769,10,0.769231,6
53,Energy Transfer,ET,0001276187,2023,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,2,2.0,4,4.0,1,1.0,6
53,Energy Transfer,ET,0001276187,2024,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,5,5.0,2,2.0,7,7.0,2,2.0,6
53,Energy Transfer,ET,0001276187,2025,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,5,5.0,2,2.0,7,7.0,2,2.0,6
54,Procter & Gamble,PG,0000080424,2024,5,4,0.8,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,9,1.8,27,5.4,2,0.4,21,4.2,12,2.4,6
54,Procter & Gamble,PG,0000080424,2025,6,4,0.666667,0,0.0,1,0.166667,0,0.0,0,0.0,1,0.166667,9,1.5,26,4.333333,2,0.333333,22,3.666667,13,2.166667,6
55,Sysco,SYY,0000096021,2023,2,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,2,1.0,3,1.5,6
55,Sysco,SYY,0000096021,2024,11,1,0.090909,0,0.0,2,0.181818,2,0.181818,5,0.454545,1,0.090909,6,0.545455,22,2.0,2,0.181818,20,1.818182,10,0.909091,6
55,Sysco,SYY,0000096021,2025,11,1,0.090909,0,0.0,2,0.181818,2,0.181818,5,0.454545,1,0.090909,6,0.545455,22,2.0,2,0.181818,20,1.818182,10,0.909091,6
56,American Express,AXP,0000004962,2023,16,5,0.3125,0,0.0,2,0.125,4,0.25,1,0.0625,4,0.25,27,1.6875,73,4.5625,0,0.0,115,7.1875,41,2.5625,6
56,American Express,AXP,0000004962,2024,28,11,0.392857,0,0.0,3,0.107143,7,0.25,1,0.035714,6,0.214286,34,1.214286,141,5.035714,0,0.0,229,8.178571,68,2.428571,6
56,American Express,AXP,0000004962,2025,37,9,0.243243,0,0.0,5,0.135135,10,0.27027,5,0.135135,8,0.216216,39,1.054054,127,3.432432,2,0.054054,187,5.054054,68,1.837838,6
57,Albertsons,ACI,0001646972,2024,9,1,0.111111,0,0.0,0,0.0,6,0.666667,1,0.111111,1,0.111111,1,0.111111,26,2.888889,3,0.333333,10,1.111111,7,0.777778,6
57,Albertsons,ACI,0001646972,2025,11,0,0.0,0,0.0,4,0.363636,5,0.454545,1,0.090909,1,0.090909,7,0.636364,22,2.0,3,0.272727,9,0.818182,7,0.636364,6
58,Archer Daniels Midland,ADM,0000007084,2023,5,0,0.0,0,0.0,2,0.4,2,0.4,0,0.0,1,0.2,6,1.2,23,4.6,0,0.0,24,4.8,4,0.8,6
58,Archer Daniels Midland,ADM,0000007084,2024,17,0,0.0,0,0.0,2,0.117647,8,0.470588,6,0.352941,1,0.058824,10,0.588235,50,2.941176,0,0.0,47,2.764706,31,1.823529,6
58,Archer Daniels Midland,ADM,0000007084,2025,17,1,0.058824,0,0.0,2,0.117647,10,0.588235,4,0.235294,0,0.0,4,0.235294,41,2.411765,0,0.0,45,2.647059,32,1.882353,6
59,MetLife,MET,0001099219,2023,11,3,0.272727,0,0.0,0,0.0,7,0.636364,1,0.090909,0,0.0,0,0.0,10,0.909091,0,0.0,21,1.909091,14,1.272727,6
59,MetLife,MET,0001099219,2024,13,1,0.076923,0,0.0,0,0.0,9,0.692308,0,0.0,3,0.230769,1,0.076923,13,1.0,0,0.0,27,2.076923,16,1.230769,6
59,MetLife,MET,0001099219,2025,13,3,0.230769,0,0.0,0,0.0,5,0.384615,1,0.076923,4,0.307692,6,0.461538,24,1.846154,0,0.0,35,2.692308,9,0.692308,6
60,HCA Healthcare,HCA,0000860730,2023,11,3,0.272727,0,0.0,1,0.090909,4,0.363636,3,0.272727,0,0.0,3,0.272727,19,1.727273,0,0.0,17,1.545455,6,0.545455,6
60,HCA Healthcare,HCA,0000860730,2024,32,2,0.0625,0,0.0,3,0.09375,23,0.71875,3,0.09375,1,0.03125,15,0.46875,59,1.84375,3,0.09375,33,1.03125,25,0.78125,6
60,HCA Healthcare,HCA,0000860730,2025,41,3,0.073171,0,0.0,3,0.073171,23,0.560976,9,0.219512,3,0.073171,25,0.609756,69,1.682927,3,0.073171,53,1.292683,41,1.0,6
61,Lockheed Martin,LMT,0000936468,2023,3,0,0.0,0,0.0,1,0.333333,0,0.0,1,0.333333,1,0.333333,0,0.0,6,2.0,0,0.0,6,2.0,2,0.666667,6
61,Lockheed Martin,LMT,0000936468,2024,5,0,0.0,0,0.0,1,0.2,0,0.0,3,0.6,1,0.2,0,0.0,9,1.8,0,0.0,8,1.6,2,0.4,6
61,Lockheed Martin,LMT,0000936468,2025,6,0,0.0,0,0.0,1,0.166667,0,0.0,3,0.5,2,0.333333,2,0.333333,10,1.666667,0,0.0,9,1.5,4,0.666667,6
63,Capital One Financial,COF,0000927628,2023,25,3,0.12,0,0.0,3,0.12,9,0.36,1,0.04,9,0.36,13,0.52,97,3.88,0,0.0,91,3.64,49,1.96,6
63,Capital One Financial,COF,0000927628,2024,30,5,0.166667,0,0.0,3,0.1,12,0.4,2,0.066667,8,0.266667,12,0.4,103,3.433333,4,0.133333,97,3.233333,49,1.633333,6
63,Capital One Financial,COF,0000927628,2025,49,6,0.122449,0,0.0,5,0.102041,21,0.428571,7,0.142857,10,0.204082,18,0.367347,131,2.673469,7,0.142857,135,2.755102,78,1.591837,6
64,Allstate,ALL,0000899051,2023,2,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,3,1.5,1,0.5,6
64,Allstate,ALL,0000899051,2024,9,1,0.111111,0,0.0,1,0.111111,4,0.444444,0,0.0,3,0.333333,13,1.444444,22,2.444444,0,0.0,28,3.111111,9,1.0,6
64,Allstate,ALL,0000899051,2025,10,1,0.1,0,0.0,2,0.2,2,0.2,1,0.1,4,0.4,16,1.6,34,3.4,0,0.0,31,3.1,14,1.4,6
65,Caterpillar,CAT,0000018230,2023,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,6,3.0,0,0.0,0,0.0,0,0.0,2,1.0,6
65,Caterpillar,CAT,0000018230,2024,3,0,0.0,1,0.333333,0,0.0,0,0.0,0,0.0,2,0.666667,6,2.0,0,0.0,3,1.0,1,0.333333,3,1.0,6
65,Caterpillar,CAT,0000018230,2025,4,0,0.0,1,0.25,0,0.0,0,0.0,0,0.0,3,0.75,6,1.5,2,0.5,1,0.25,6,1.5,4,1.0,6
66,IBM,IBM,0000051143,2023,12,2,0.166667,3,0.25,3,0.25,0,0.0,1,0.083333,3,0.25,14,1.166667,33,2.75,0,0.0,43,3.583333,20,1.666667,6
66,IBM,IBM,0000051143,2024,23,2,0.086957,4,0.173913,8,0.347826,1,0.043478,4,0.173913,4,0.173913,26,1.130435,62,2.695652,1,0.043478,67,2.913043,37,1.608696,6
66,IBM,IBM,0000051143,2025,21,1,0.047619,5,0.238095,6,0.285714,3,0.142857,2,0.095238,4,0.190476,23,1.095238,40,1.904762,1,0.047619,43,2.047619,41,1.952381,6
67,Eli Lilly,LLY,0000059478,2023,14,1,0.071429,0,0.0,0,0.0,11,0.785714,2,0.142857,0,0.0,9,0.642857,31,2.214286,3,0.214286,33,2.357143,12,0.857143,6
67,Eli Lilly,LLY,0000059478,2024,16,1,0.0625,0,0.0,1,0.0625,13,0.8125,1,0.0625,0,0.0,8,0.5,47,2.9375,3,0.1875,45,2.8125,14,0.875,6
67,Eli Lilly,LLY,0000059478,2025,20,2,0.1,0,0.0,1,0.05,15,0.75,2,0.1,0,0.0,11,0.55,46,2.3,3,0.15,51,2.55,15,0.75,6
68,Merck,MRK,0000310158,2023,4,0,0.0,0,0.0,1,0.25,3,0.75,0,0.0,0,0.0,1,0.25,17,4.25,0,0.0,16,4.0,7,1.75,6
68,Merck,MRK,0000310158,2024,6,1,0.166667,0,0.0,1,0.166667,4,0.666667,0,0.0,0,0.0,2,0.333333,19,3.166667,0,0.0,20,3.333333,14,2.333333,6
68,Merck,MRK,0000310158,2025,7,0,0.0,0,0.0,2,0.285714,5,0.714286,0,0.0,0,0.0,2,0.285714,16,2.285714,0,0.0,20,2.857143,14,2.0,6
70,Broadcom,AVGO,0001730168,2023,16,1,0.0625,11,0.6875,2,0.125,0,0.0,0,0.0,2,0.125,37,2.3125,41,2.5625,6,0.375,86,5.375,42,2.625,6
70,Broadcom,AVGO,0001730168,2024,48,1,0.020833,27,0.5625,4,0.083333,0,0.0,2,0.041667,14,0.291667,57,1.1875,86,1.791667,7,0.145833,171,3.5625,136,2.833333,6
70,Broadcom,AVGO,0001730168,2025,63,2,0.031746,31,0.492063,3,0.047619,0,0.0,4,0.063492,23,0.365079,73,1.15873,83,1.31746,7,0.111111,157,2.492063,184,2.920635,6
71,Delta Air Lines,DAL,0000027904,2025,12,3,0.25,1,0.083333,2,0.166667,1,0.083333,5,0.416667,0,0.0,9,0.75,27,2.25,2,0.166667,31,2.583333,14,1.166667,6
73,Pfizer,PFE,0000078003,2023,6,1,0.166667,0,0.0,2,0.333333,3,0.5,0,0.0,0,0.0,3,0.5,20,3.333333,0,0.0,13,2.166667,6,1.0,6
73,Pfizer,PFE,0000078003,2024,9,2,0.222222,0,0.0,2,0.222222,3,0.333333,0,0.0,2,0.222222,3,0.333333,26,2.888889,2,0.222222,14,1.555556,7,0.777778,6
73,Pfizer,PFE,0000078003,2025,31,4,0.129032,0,0.0,1,0.032258,15,0.483871,6,0.193548,5,0.16129,33,1.064516,48,1.548387,3,0.096774,46,1.483871,14,0.451613,6
74,TD Synnex,SNX,0001177394,2023,5,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0,2,0.4,5,1.0,15,3.0,2,0.4,18,3.6,20,4.0,6
74,TD Synnex,SNX,0001177394,2024,6,0,0.0,2,0.333333,1,0.166667,0,0.0,0,0.0,3,0.5,6,1.0,20,3.333333,2,0.333333,23,3.833333,21,3.5,6
74,TD Synnex,SNX,0001177394,2025,20,1,0.05,3,0.15,1,0.05,11,0.55,1,0.05,3,0.15,15,0.75,48,2.4,2,0.1,33,1.65,22,1.1,6
