fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,topic_5_count,topic_5_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share,k
85,Charter Communications,CHTR,0001091667,2025,12,2,0.166667,0,0.0,1,0.083333,6,0.5,2,0.166667,1,0.083333,3,0.25,25,2.083333,0,0.0,22,1.833333,5,0.416667,6
86,American Airlines Group,AAL,0000006201,2023,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,6
86,American Airlines Group,AAL,0000006201,2024,21,2,0.095238,0,0.0,7,0.333333,6,0.285714,5,0.238095,1,0.047619,13,0.619048,77,3.666667,10,0.47619,51,2.428571,30,1.428571,6
86,American Airlines Group,AAL,0000006201,2025,28,3,0.107143,0,0.0,7,0.25,14,0.5,3,0.107143,1,0.035714,15,0.535714,77,2.75,12,0.428571,49,1.75,39,1.392857,6
87,Tyson Foods,TSN,0000100493,2023,6,1,0.166667,0,0.0,0,0.0,0,0.0,2,0.333333,3,0.5,23,3.833333,4,0.666667,0,0.0,3,0.5,1,0.166667,6
87,Tyson Foods,TSN,0000100493,2024,3,1,0.333333,0,0.0,1,0.333333,0,0.0,1,0.333333,0,0.0,5,1.666667,5,1.666667,0,0.0,4,1.333333,1,0.333333,6
87,Tyson Foods,TSN,0000100493,2025,4,0,0.0,0,0.0,1,0.25,0,0.0,1,0.25,2,0.5,7,1.75,5,1.25,0,0.0,4,1.0,1,0.25,6
88,Intel,INTC,0000050863,2023,99,3,0.030303,62,0.626263,1,0.010101,9,0.090909,11,0.111111,13,0.131313,99,1.0,81,0.818182,12,0.121212,108,1.090909,191,1.929293,6
88,Intel,INTC,0000050863,2024,88,3,0.034091,48,0.545455,3,0.034091,4,0.045455,10,0.113636,20,0.227273,93,1.056818,56,0.636364,10,0.113636,80,0.909091,117,1.329545,6
88,Intel,INTC,0000050863,2025,96,3,0.03125,58,0.604167,3,0.03125,6,0.0625,4,0.041667,22,0.229167,89,0.927083,53,0.552083,15,0.15625,111,1.15625,131,1.364583,6
89,Enterprise Products Partners,EPD,0001061219,2025,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,6
90,Ingram Micro Holding,INGM,0001897762,2024,21,1,0.047619,5,0.238095,1,0.047619,6,0.285714,2,0.095238,6,0.285714,17,0.809524,47,2.238095,0,0.0,34,1.619048,36,1.714286,6
90,Ingram Micro Holding,INGM,0001897762,2025,24,2,0.083333,6,0.25,1,0.041667,6,0.25,3,0.125,6,0.25,23,0.958333,54,2.25,0,0.0,42,1.75,39,1.625,6
91,General Dynamics,GD,0000040533,2023,5,0,0.0,4,0.8,0,0.0,0,0.0,1,0.2,0,0.0,2,0.4,5,1.0,0,0.0,9,1.8,9,1.8,6
91,General Dynamics,GD,0000040533,2024,4,0,0.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,4,1.0,0,0.0,6,1.5,8,2.0,6
91,General Dynamics,GD,0000040533,2025,4,0,0.0,3,0.75,0,0.0,0,0.0,0,0.0,1,0.25,2,0.5,4,1.0,1,0.25,6,1.5,7,1.75,6
92,Uber Technologies,UBER,0001543151,2023,16,3,0.1875,0,0.0,2,0.125,9,0.5625,1,0.0625,1,0.0625,2,0.125,34,2.125,0,0.0,40,2.5,16,1.0,6
92,Uber Technologies,UBER,0001543151,2024,16,4,0.25,0,0.0,1,0.0625,10,0.625,0,0.0,1,0.0625,2,0.125,37,2.3125,2,0.125,39,2.4375,15,0.9375,6
92,Uber Technologies,UBER,0001543151,2025,19,6,0.315789,0,0.0,2,0.105263,10,0.526316,0,0.0,1,0.052632,4,0.210526,52,2.736842,2,0.105263,48,2.526316,21,1.105263,6
96,Travelers,TRV,0000086312,2023,13,1,0.076923,0,0.0,2,0.153846,2,0.153846,1,0.076923,7,0.538462,21,1.615385,16,1.230769,0,0.0,19,1.461538,15,1.153846,6
96,Travelers,TRV,0000086312,2024,17,3,0.176471,0,0.0,5,0.294118,1,0.058824,1,0.058824,7,0.411765,23,1.352941,28,1.647059,0,0.0,34,2.0,20,1.176471,6
96,Travelers,TRV,0000086312,2025,29,4,0.137931,0,0.0,8,0.275862,3,0.103448,3,0.103448,11,0.37931,27,0.931034,46,1.586207,0,0.0,42,1.448276,31,1.068966,6
97,Bristol-Myers Squibb,BMY,0000014272,2024,6,0,0.0,0,0.0,2,0.333333,3,0.5,1,0.166667,0,0.0,9,1.5,13,2.166667,3,0.5,9,1.5,5,0.833333,6
97,Bristol-Myers Squibb,BMY,0000014272,2025,10,1,0.1,0,0.0,3,0.3,3,0.3,3,0.3,0,0.0,11,1.1,17,1.7,4,0.4,18,1.8,8,0.8,6
98,Coca-Cola,KO,0000021344,2023,4,1,0.25,0,0.0,1,0.25,0,0.0,0,0.0,2,0.5,5,1.25,6,1.5,1,0.25,13,3.25,6,1.5,6
98,Coca-Cola,KO,0000021344,2024,6,2,0.333333,0,0.0,1,0.166667,0,0.0,0,0.0,3,0.5,8,1.333333,8,1.333333,1,0.166667,15,2.5,7,1.166667,6
98,Coca-Cola,KO,0000021344,2025,8,2,0.25,0,0.0,1,0.125,0,0.0,1,0.125,4,0.5,10,1.25,9,1.125,1,0.125,17,2.125,7,0.875,6
99,Nike,NKE,0000320187,2023,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,6
99,Nike,NKE,0000320187,2024,4,0,0.0,0,0.0,1,0.25,1,0.25,0,0.0,2,0.5,10,2.5,4,1.0,1,0.25,3,0.75,3,0.75,6
99,Nike,NKE,0000320187,2025,3,0,0.0,0,0.0,1,0.333333,1,0.333333,0,0.0,1,0.333333,2,0.666667,7,2.333333,1,0.333333,4,1.333333,1,0.333333,6
