event_id,fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,filing_date,report_date,naics_sector_code,naics_sector_name,AI_Related_Disclosure_Intensity,AI_RiskRelated_Topic_Share,AI_Risk_Orientation_Proxy,log_total_words,AI_Mention_Count,Topic_Entropy,filing_year,ticker_estimate,company,filing_date_estimate,event_trading_date,market_benchmark,market_data_status,failure_reason,CAR_m1_p1,CAR_0_p1,CAR_0_p3,CAR_0_p5,AbnormalVolume_0_p1,AbnormalVolume_0_p3,AbnormalVolume_0_p5,CAR_m10_m6,CAR_m5_m2,AbnormalVolume_m5_m2
AMZN_2023_1018724,1,Amazon,AMZN,1018724,2023,2024-02-02,2023-12-31,44-45,Retail Trade,3.756292,0.583334,0.25,10.594958328715128,15,1.23668456370896,2024,,,,,,,,,,,,,,,,,
AMZN_2024_1018724,1,Amazon,AMZN,1018724,2024,2025-02-07,2024-12-31,44-45,Retail Trade,5.569338,0.375,0.0625,10.584106582518803,22,1.3334730391185026,2025,,,,,,,,,,,,,,,,,
AMZN_2025_1018724,1,Amazon,AMZN,1018724,2025,2026-02-06,2025-12-31,44-45,Retail Trade,11.266054,0.310346,0.137931,10.595208716817995,45,1.3159971698324089,2026,,,,,,,,,,,,,,,,,
WMT_2023_104169,2,Walmart,WMT,104169,2023,2023-03-17,2023-01-31,44-45,Retail Trade,0.982473,0.0,0.0,10.83746101926259,5,-0.0,2023,,,,,,,,,,,,,,,,,
WMT_2024_104169,2,Walmart,WMT,104169,2024,2024-03-15,2024-01-31,44-45,Retail Trade,1.493039,0.0,0.0,10.888968469762906,8,-0.0,2024,,,,,,,,,,,,,,,,,
WMT_2025_104169,2,Walmart,WMT,104169,2025,2025-03-14,2025-01-31,44-45,Retail Trade,2.46684,0.416667,0.416667,10.872351759017352,13,1.1187435225229199,2025,,,,,,,,,,,,,,,,,
UNH_2023_731766,3,UnitedHealth Group,UNH,731766,2023,2024-02-28,2023-12-31,52,Finance and Insurance,1.388825,0.818181,0.636364,10.673642069456857,6,1.240684051268604,2024,,,,,,,,,,,,,,,,,
UNH_2024_731766,3,UnitedHealth Group,UNH,731766,2024,2025-02-27,2024-12-31,52,Finance and Insurance,1.372903,0.818181,0.636364,10.68517202861297,6,1.240684051268604,2025,,,,,,,,,,,,,,,,,
UNH_2025_731766,3,UnitedHealth Group,UNH,731766,2025,2026-03-02,2025-12-31,52,Finance and Insurance,1.090917,0.8,0.6,10.732759634666934,5,1.1595704898852968,2026,,,,,,,,,,,,,,,,,
AAPL_2023_320193,4,Apple,AAPL,320193,2023,2023-11-03,2023-09-30,31-33,Manufacturing,0.711212,1.0,1.0,10.24427190716996,2,-0.0,2023,,,,,,,,,,,,,,,,,
AAPL_2024_320193,4,Apple,AAPL,320193,2024,2024-11-01,2024-09-28,31-33,Manufacturing,1.748435,1.0,1.0,10.261057096201172,5,0.6365139372455026,2024,,,,,,,,,,,,,,,,,
AAPL_2025_320193,4,Apple,AAPL,320193,2025,2025-10-31,2025-09-27,31-33,Manufacturing,3.460926,1.0,1.0,10.271389240089327,10,0.6931471805599453,2025,,,,,,,,,,,,,,,,,
GOOGL_2023_1652044,5,Alphabet,GOOGL,1652044,2023,2024-01-31,2023-12-31,51,Information,3.046737,0.268293,-0.341463,10.804319409347737,15,1.1014070500791693,2024,,,,,,,,,,,,,,,,,
GOOGL_2024_1652044,5,Alphabet,GOOGL,1652044,2024,2025-02-05,2024-12-31,51,Information,1.976988,0.301075,-0.236559,10.831351060762898,10,1.2296532981037558,2025,,,,,,,,,,,,,,,,,
GOOGL_2025_1652044,5,Alphabet,GOOGL,1652044,2025,2026-02-05,2025-12-31,51,Information,1.818439,0.428572,0.035714,10.809586524415446,9,1.4017264346127387,2026,,,,,,,,,,,,,,,,,
CVS_2023_64803,6,CVS Health,CVS,64803,2023,2024-02-07,2023-12-31,44-45,Retail Trade,0.481843,0.0,-0.75,11.732237686103396,6,0.5623351446188083,2024,,,,,,,,,,,,,,,,,
CVS_2024_64803,6,CVS Health,CVS,64803,2024,2025-02-12,2024-12-31,44-45,Retail Trade,0.665718,0.428571,0.0,11.6966710074152,8,1.2770339824313797,2025,,,,,,,,,,,,,,,,,
CVS_2025_64803,6,CVS Health,CVS,64803,2025,2026-02-10,2025-12-31,44-45,Retail Trade,0.640023,0.538461,0.230769,11.602501051562593,7,1.564956685285051,2026,,,,,,,,,,,,,,,,,
BRK-B_2023_1067983,7,Berkshire Hathaway,BRK-B,1067983,2023,2024-02-26,2023-12-31,52,Finance and Insurance,0.0,0.0,0.0,11.176851149168025,0,0.0,2024,,,,,,,,,,,,,,,,,
BRK-B_2024_1067983,7,Berkshire Hathaway,BRK-B,1067983,2024,2025-02-24,2024-12-31,52,Finance and Insurance,0.0,0.0,0.0,11.156893171630214,0,0.0,2025,,,,,,,,,,,,,,,,,
BRK-B_2025_1067983,7,Berkshire Hathaway,BRK-B,1067983,2025,2026-03-02,2025-12-31,52,Finance and Insurance,0.287588,1.0,1.0,11.1497149247589,2,-0.0,2026,,,,,,,,,,,,,,,,,
MCK_2023_927653,8,McKesson,MCK,927653,2023,2023-05-09,2023-03-31,42,Wholesale Trade,0.397599,0.0,0.0,11.231265224836942,3,-0.0,2023,,,,,,,,,,,,,,,,,
MCK_2024_927653,8,McKesson,MCK,927653,2024,2024-05-08,2024-03-31,42,Wholesale Trade,0.99691,0.461538,0.384615,11.159345725938799,7,1.377819130219025,2024,,,,,,,,,,,,,,,,,
MCK_2025_927653,8,McKesson,MCK,927653,2025,2025-05-09,2025-03-31,42,Wholesale Trade,1.313466,0.666666,0.625,11.134895546610604,9,1.393475775791155,2025,,,,,,,,,,,,,,,,,
XOM_2023_34088,9,Exxon Mobil,XOM,34088,2023,2024-02-28,2023-12-31,31-33,Manufacturing,0.0,0.0,0.0,10.923255026881002,0,0.0,2024,,,,,,,,,,,,,,,,,
XOM_2024_34088,9,Exxon Mobil,XOM,34088,2024,2025-02-19,2024-12-31,31-33,Manufacturing,0.0,0.0,0.0,10.983069915297433,0,0.0,2025,,,,,,,,,,,,,,,,,
XOM_2025_34088,9,Exxon Mobil,XOM,34088,2025,2026-02-18,2025-12-31,31-33,Manufacturing,0.178501,0.0,0.0,10.93349974971198,1,-0.0,2026,,,,,,,,,,,,,,,,,
COR_2023_1140859,10,Cencora,COR,1140859,2023,2023-11-21,2023-09-30,42,Wholesale Trade,0.547695,0.333333,0.333333,10.910989164463667,3,0.6365139372455026,2023,,,,,,,,,,,,,,,,,
COR_2024_1140859,10,Cencora,COR,1140859,2024,2024-11-26,2024-09-30,42,Wholesale Trade,0.542319,0.333333,0.333333,10.920853631835199,3,0.6365139372455026,2024,,,,,,,,,,,,,,,,,
COR_2025_1140859,10,Cencora,COR,1140859,2025,2025-11-25,2025-09-30,42,Wholesale Trade,1.219576,0.82353,0.823529,10.957747316133442,7,1.3397187201231318,2025,,,,,,,,,,,,,,,,,
MSFT_2023_789019,11,Microsoft,MSFT,789019,2023,2023-07-27,2023-06-30,51,Information,3.767661,0.267606,-0.422535,10.774257769108473,18,0.9858517958425477,2023,,,,,,,,,,,,,,,,,
MSFT_2024_789019,11,Microsoft,MSFT,789019,2024,2024-07-30,2024-06-30,51,Information,3.796887,0.252525,-0.363636,10.82059794839396,19,1.1622687038914439,2024,,,,,,,,,,,,,,,,,
MSFT_2025_789019,11,Microsoft,MSFT,789019,2025,2025-07-30,2025-06-30,51,Information,2.272314,0.344827,-0.08046,10.692126714555293,10,1.396902594952268,2025,,,,,,,,,,,,,,,,,
JPM_2023_19617,12,JPMorgan Chase,JPM,19617,2023,2024-02-16,2023-12-31,52,Finance and Insurance,0.341647,0.333333,0.333333,12.076077848913986,6,0.6365139372455026,2024,,,,,,,,,,,,,,,,,
JPM_2024_19617,12,JPMorgan Chase,JPM,19617,2024,2025-02-14,2024-12-31,52,Finance and Insurance,1.167685,0.636363,0.636364,12.051049084853247,20,1.0361987486199988,2025,,,,,,,,,,,,,,,,,
JPM_2025_19617,12,JPMorgan Chase,JPM,19617,2025,2026-02-13,2025-12-31,52,Finance and Insurance,0.660474,0.470589,0.470588,12.02303283085077,11,1.2006850145933738,2026,,,,,,,,,,,,,,,,,
COST_2023_909832,13,Costco Wholesale,COST,909832,2023,2023-10-11,2023-09-03,44-45,Retail Trade,0.0,0.0,0.0,10.254426074622923,0,0.0,2023,,,,,,,,,,,,,,,,,
COST_2024_909832,13,Costco Wholesale,COST,909832,2024,2024-10-09,2024-09-01,44-45,Retail Trade,0.674696,0.5,0.5,10.296981288863073,2,0.6931471805599453,2024,,,,,,,,,,,,,,,,,
COST_2025_909832,13,Costco Wholesale,COST,909832,2025,2025-10-08,2025-08-31,44-45,Retail Trade,0.689845,0.5,0.5,10.274775208842707,2,0.6931471805599453,2025,,,,,,,,,,,,,,,,,
CI_2023_1739940,14,Cigna Group,CI,1739940,2023,2024-02-29,2023-12-31,52,Finance and Insurance,1.204806,0.739131,0.521739,11.421917019425596,11,1.215315918967187,2024,,,,,,,,,,,,,,,,,
CI_2024_1739940,14,Cigna Group,CI,1739940,2024,2025-02-27,2024-12-31,52,Finance and Insurance,1.326365,0.888889,0.777778,11.230482975232924,10,0.9283433743435757,2025,,,,,,,,,,,,,,,,,
CI_2025_1739940,14,Cigna Group,CI,1739940,2025,2026-02-26,2025-12-31,52,Finance and Insurance,1.663455,0.885714,0.8,11.186350092426327,12,0.9736482075621495,2026,,,,,,,,,,,,,,,,,
CAH_2023_721371,15,Cardinal Health,CAH,721371,2023,2023-08-15,2023-06-30,42,Wholesale Trade,0.0,0.0,0.0,10.83160803616386,0,0.0,2023,,,,,,,,,,,,,,,,,
CAH_2024_721371,15,Cardinal Health,CAH,721371,2024,2024-08-14,2024-06-30,42,Wholesale Trade,1.062568,0.25,0.25,10.941411675702279,6,0.5623351446188083,2024,,,,,,,,,,,,,,,,,
CAH_2025_721371,15,Cardinal Health,CAH,721371,2025,2025-08-12,2025-06-30,42,Wholesale Trade,0.757217,0.666666,0.666667,10.874739842484258,4,1.098612190055321,2025,,,,,,,,,,,,,,,,,
NVDA_2023_1045810,16,Nvidia,NVDA,1045810,2023,2023-02-24,2023-01-29,31-33,Manufacturing,7.906527,0.197674,-0.511628,10.726170654445108,36,0.9216792579932691,2023,,,,,,,,,,,,,,,,,
NVDA_2024_1045810,16,Nvidia,NVDA,1045810,2024,2024-02-21,2024-01-28,31-33,Manufacturing,8.614854,0.288288,-0.342342,10.794522012994118,42,1.1236459293613796,2024,,,,,,,,,,,,,,,,,
NVDA_2025_1045810,16,Nvidia,NVDA,1045810,2025,2025-02-26,2025-01-26,31-33,Manufacturing,6.810215,0.358208,-0.186567,10.818277158284015,34,1.224626373830138,2025,,,,,,,,,,,,,,,,,
META_2023_1326801,17,Meta Platforms,META,1326801,2023,2024-02-02,2023-12-31,51,Information,3.876989,0.622641,0.45283,11.18748614131548,28,1.3043652766800027,2024,,,,,,,,,,,,,,,,,
META_2024_1326801,17,Meta Platforms,META,1326801,2024,2025-01-30,2024-12-31,51,Information,4.328477,0.550725,0.376812,11.210860452150994,32,1.3502904835145404,2025,,,,,,,,,,,,,,,,,
META_2025_1326801,17,Meta Platforms,META,1326801,2025,2026-01-29,2025-12-31,51,Information,4.208644,0.522936,0.302752,11.238935887650104,32,1.4377747846748379,2026,,,,,,,,,,,,,,,,,
ELV_2023_1156039,18,Elevance Health,ELV,1156039,2023,2024-02-21,2023-12-31,52,Finance and Insurance,0.245333,0.5,0.0,11.308628201452379,2,0.6931471805599453,2024,,,,,,,,,,,,,,,,,
ELV_2024_1156039,18,Elevance Health,ELV,1156039,2024,2025-02-20,2024-12-31,52,Finance and Insurance,0.478675,0.923077,0.846154,11.33336808431894,4,1.1569871063964097,2025,,,,,,,,,,,,,,,,,
ELV_2025_1156039,18,Elevance Health,ELV,1156039,2025,2026-02-06,2025-12-31,52,Finance and Insurance,0.742354,0.866666,0.733333,11.300029230107569,6,1.1124555675722296,2026,,,,,,,,,,,,,,,,,
CNC_2023_1071739,19,Centene,CNC,1071739,2023,2024-02-20,2023-12-31,52,Finance and Insurance,0.158336,1.0,1.0,11.053378968824774,1,-0.0,2024,,,,,,,,,,,,,,,,,
CNC_2024_1071739,19,Centene,CNC,1071739,2024,2025-02-18,2024-12-31,52,Finance and Insurance,4.027386,0.866667,0.866667,11.036098610376367,25,1.3095256042543841,2025,,,,,,,,,,,,,,,,,
CNC_2025_1071739,19,Centene,CNC,1071739,2025,2026-02-17,2025-12-31,52,Finance and Insurance,4.188795,0.9,0.85,11.110131785417224,28,1.3046615296840591,2026,,,,,,,,,,,,,,,,,
