event_id,fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,filing_date,report_date,naics_sector_code,naics_sector_name,AI_Related_Disclosure_Intensity,AI_RiskRelated_Topic_Share,AI_Risk_Orientation_Proxy,log_total_words,AI_Mention_Count,Topic_Entropy,filing_year,ticker_estimate,company,filing_date_estimate,event_trading_date,market_benchmark,market_data_status,failure_reason,CAR_m1_p1,CAR_0_p1,CAR_0_p3,CAR_0_p5,AbnormalVolume_0_p1,AbnormalVolume_0_p3,AbnormalVolume_0_p5,CAR_m10_m6,CAR_m5_m2,AbnormalVolume_m5_m2
BAC_2023_70858,20,Bank of America,BAC,70858,2023,2024-02-20,2023-12-31,52,Finance and Insurance,1.09109,0.818181,0.818182,11.762220077017213,14,1.0361987486199988,2024,,,,,,,,,,,,,,,,,
BAC_2024_70858,20,Bank of America,BAC,70858,2024,2025-02-25,2024-12-31,52,Finance and Insurance,1.98564,0.695652,0.695652,11.743274990774765,25,1.2733262712708462,2025,,,,,,,,,,,,,,,,,
BAC_2025_70858,20,Bank of America,BAC,70858,2025,2026-02-25,2025-12-31,52,Finance and Insurance,0.476104,0.866667,0.866667,11.744219708957814,6,1.2625123874091084,2026,,,,,,,,,,,,,,,,,
CVX_2023_93410,21,Chevron,CVX,93410,2023,2024-02-26,2023-12-31,31-33,Manufacturing,0.305018,0.0,-0.5,11.090873553257666,2,0.6931471805599453,2024,,,,,,,,,,,,,,,,,
CVX_2024_93410,21,Chevron,CVX,93410,2024,2025-02-21,2024-12-31,31-33,Manufacturing,0.302906,0.6,0.4,11.097819028262782,2,0.9502705392332347,2025,,,,,,,,,,,,,,,,,
CVX_2025_93410,21,Chevron,CVX,93410,2025,2026-02-24,2025-12-31,31-33,Manufacturing,0.592619,0.875,0.875,11.119838431428493,4,0.37677016125643675,2026,,,,,,,,,,,,,,,,,
F_2023_37996,22,Ford Motor,F,37996,2023,2024-02-07,2023-12-31,31-33,Manufacturing,0.65336,0.357143,0.285714,11.427726989136344,6,0.8760062835900944,2024,,,,,,,,,,,,,,,,,
F_2024_37996,22,Ford Motor,F,37996,2024,2025-02-06,2024-12-31,31-33,Manufacturing,0.850648,0.4,0.4,11.45153930325588,8,0.8532366870340826,2025,,,,,,,,,,,,,,,,,
F_2025_37996,22,Ford Motor,F,37996,2025,2026-02-11,2025-12-31,31-33,Manufacturing,0.73984,0.857143,0.857143,11.457571304838151,7,0.7963111803342096,2026,,,,,,,,,,,,,,,,,
GM_2023_1467858,23,General Motors,GM,1467858,2023,2024-01-30,2023-12-31,31-33,Manufacturing,0.0,0.0,0.0,11.039620391951418,0,0.0,2024,,,,,,,,,,,,,,,,,
GM_2024_1467858,23,General Motors,GM,1467858,2024,2025-01-28,2024-12-31,31-33,Manufacturing,0.778877,0.333333,0.333333,11.069680605025184,5,0.6365139372455026,2025,,,,,,,,,,,,,,,,,
GM_2025_1467858,23,General Motors,GM,1467858,2025,2026-01-27,2025-12-31,31-33,Manufacturing,0.620396,0.636363,0.454545,11.074032830749546,4,1.5157074363772607,2026,,,,,,,,,,,,,,,,,
C_2023_831001,24,Citigroup,C,831001,2023,2024-02-23,2023-12-31,52,Finance and Insurance,0.223952,1.0,1.0,12.092959936898529,4,0.6931471805599453,2024,,,,,,,,,,,,,,,,,
C_2024_831001,24,Citigroup,C,831001,2024,2025-02-21,2024-12-31,52,Finance and Insurance,0.559331,0.615384,0.538462,12.093939245584918,10,1.2658564860154855,2025,,,,,,,,,,,,,,,,,
C_2025_831001,24,Citigroup,C,831001,2025,2026-02-20,2025-12-31,52,Finance and Insurance,0.719084,0.666666,0.666667,12.025024277886827,12,1.267884885770433,2026,,,,,,,,,,,,,,,,,
HD_2023_354950,25,Home Depot,HD,354950,2023,2023-03-15,2023-01-29,44-45,Retail Trade,0.247555,0.0,-1.0,10.606461293913808,1,-0.0,2023,,,,,,,,,,,,,,,,,
HD_2024_354950,25,Home Depot,HD,354950,2024,2024-03-13,2024-01-28,44-45,Retail Trade,0.951633,0.25,0.25,10.646210303039341,4,0.5623351446188083,2024,,,,,,,,,,,,,,,,,
HD_2025_354950,25,Home Depot,HD,354950,2025,2025-03-21,2025-02-02,44-45,Retail Trade,1.307247,0.6,0.6,10.734176822114557,6,1.0549201679861442,2025,,,,,,,,,,,,,,,,,
FNMA_2023_310522,26,Fannie Mae,FNMA,310522,2023,2024-02-15,2023-12-31,52,Finance and Insurance,1.51041,0.733333,0.666667,12.016835229214475,25,1.2868735545920695,2024,,,,,,,,,,,,,,,,,
FNMA_2024_310522,26,Fannie Mae,FNMA,310522,2024,2025-02-14,2024-12-31,52,Finance and Insurance,2.125983,0.714286,0.666667,11.98246648722985,34,1.1753616447981756,2025,,,,,,,,,,,,,,,,,
FNMA_2025_310522,26,Fannie Mae,FNMA,310522,2025,2026-02-11,2025-12-31,52,Finance and Insurance,2.178831,0.785715,0.642857,11.957912522906632,34,1.2648993450209947,2026,,,,,,,,,,,,,,,,,
KR_2023_56873,27,Kroger,KR,56873,2023,2023-03-28,2023-01-28,44-45,Retail Trade,0.0,0.0,0.0,10.775512868112267,0,0.0,2023,,,,,,,,,,,,,,,,,
KR_2024_56873,27,Kroger,KR,56873,2024,2024-04-02,2024-02-03,44-45,Retail Trade,0.0,1.0,1.0,10.825084183200465,0,-0.0,2024,,,,,,,,,,,,,,,,,
KR_2025_56873,27,Kroger,KR,56873,2025,2025-04-01,2025-02-01,44-45,Retail Trade,0.57628,0.833333,0.833333,10.860113760599686,3,1.0114044957559118,2025,,,,,,,,,,,,,,,,,
VZ_2023_732712,28,Verizon Communications,VZ,732712,2023,2024-02-09,2023-12-31,51,Information,0.60573,0.666666,0.666667,11.097955326847758,4,1.098612190055321,2024,,,,,,,,,,,,,,,,,
VZ_2024_732712,28,Verizon Communications,VZ,732712,2024,2025-02-12,2024-12-31,51,Information,0.897868,0.8,0.8,11.109832541007119,6,1.2206072645530175,2025,,,,,,,,,,,,,,,,,
VZ_2025_732712,28,Verizon Communications,VZ,732712,2025,2026-02-17,2025-12-31,51,Information,1.229842,0.5,0.277778,11.082896111032328,8,1.4609713724016697,2026,,,,,,,,,,,,,,,,,
PSX_2023_1534701,29,Phillips 66,PSX,1534701,2023,2024-02-21,2023-12-31,31-33,Manufacturing,0.0,0.0,0.0,11.231172447548754,0,0.0,2024,,,,,,,,,,,,,,,,,
PSX_2024_1534701,29,Phillips 66,PSX,1534701,2024,2025-02-21,2024-12-31,31-33,Manufacturing,0.260075,0.5,0.5,11.250274159310356,2,0.6931471805599453,2025,,,,,,,,,,,,,,,,,
PSX_2025_1534701,29,Phillips 66,PSX,1534701,2025,2026-02-20,2025-12-31,31-33,Manufacturing,0.261428,0.5,0.5,11.245085234731986,2,0.6931471805599453,2026,,,,,,,,,,,,,,,,,
MPC_2023_1510295,30,Marathon Petroleum,MPC,1510295,2023,2024-02-28,2023-12-31,31-33,Manufacturing,0.280635,0.5,0.5,11.17418866616251,2,0.6931471805599453,2024,,,,,,,,,,,,,,,,,
MPC_2024_1510295,30,Marathon Petroleum,MPC,1510295,2024,2025-02-27,2024-12-31,31-33,Manufacturing,0.403736,1.0,1.0,11.215946981146658,3,0.5004024235381879,2025,,,,,,,,,,,,,,,,,
MPC_2025_1510295,30,Marathon Petroleum,MPC,1510295,2025,2026-02-26,2025-12-31,31-33,Manufacturing,0.398772,1.0,1.0,11.228318659035375,3,0.5004024235381879,2026,,,,,,,,,,,,,,,,,
SNEX_2023_913760,31,StoneX Group,SNEX,913760,2023,2023-11-24,2023-09-30,52,Finance and Insurance,0.0,0.0,0.0,11.256276835098621,0,0.0,2023,,,,,,,,,,,,,,,,,
SNEX_2024_913760,31,StoneX Group,SNEX,913760,2024,2024-11-29,2024-09-30,52,Finance and Insurance,0.0,0.0,0.0,11.260365976208814,0,0.0,2024,,,,,,,,,,,,,,,,,
SNEX_2025_913760,31,StoneX Group,SNEX,913760,2025,2025-11-28,2025-09-30,52,Finance and Insurance,0.0,0.0,0.0,11.34950024256013,0,0.0,2025,,,,,,,,,,,,,,,,,
FMCC_2023_1026214,33,Freddie Mac,FMCC,1026214,2023,2024-02-14,2023-12-31,52,Finance and Insurance,0.20035,0.866666,0.866667,11.916642379210904,3,1.1124555675722296,2024,,,,,,,,,,,,,,,,,
FMCC_2024_1026214,33,Freddie Mac,FMCC,1026214,2024,2025-02-13,2024-12-31,52,Finance and Insurance,1.477879,0.888889,0.888889,11.910774981266345,22,1.0878566127667852,2025,,,,,,,,,,,,,,,,,
FMCC_2025_1026214,33,Freddie Mac,FMCC,1026214,2025,2026-02-12,2025-12-31,52,Finance and Insurance,0.210898,0.789473,0.736842,11.865334322086891,3,1.2367938140095704,2026,,,,,,,,,,,,,,,,,
HUM_2023_49071,34,Humana,HUM,49071,2023,2024-02-15,2023-12-31,52,Finance and Insurance,0.0,0.0,0.0,11.105844051343766,0,0.0,2024,,,,,,,,,,,,,,,,,
HUM_2024_49071,34,Humana,HUM,49071,2024,2025-02-20,2024-12-31,52,Finance and Insurance,0.633282,1.0,1.0,11.053473965658284,4,0.6365139372455026,2025,,,,,,,,,,,,,,,,,
HUM_2025_49071,34,Humana,HUM,49071,2025,2026-02-19,2025-12-31,52,Finance and Insurance,0.638132,1.0,1.0,11.045845557481588,4,1.0114044957559118,2026,,,,,,,,,,,,,,,,,
T_2023_732717,35,AT&T,T,732717,2023,2024-02-23,2023-12-31,51,Information,0.878657,0.6,0.6,10.94913848971599,5,1.0549201679861442,2024,,,,,,,,,,,,,,,,,
T_2024_732717,35,AT&T,T,732717,2024,2025-02-12,2024-12-31,51,Information,1.303004,0.428571,0.142857,10.891577880026057,7,1.351783642505152,2025,,,,,,,,,,,,,,,,,
T_2025_732717,35,AT&T,T,732717,2025,2026-02-09,2025-12-31,51,Information,0.952091,0.428572,0.142857,10.868873164054001,5,1.4508062083332336,2026,,,,,,,,,,,,,,,,,
GS_2023_886982,36,Goldman Sachs Group,GS,886982,2023,2024-02-23,2023-12-31,52,Finance and Insurance,0.430213,0.947368,0.947368,11.999724754133364,7,1.1643655341258956,2024,,,,,,,,,,,,,,,,,
GS_2024_886982,36,Goldman Sachs Group,GS,886982,2024,2025-02-27,2024-12-31,52,Finance and Insurance,0.680175,0.84375,0.84375,11.9936402741639,11,1.3028064663195091,2025,,,,,,,,,,,,,,,,,
GS_2025_886982,36,Goldman Sachs Group,GS,886982,2025,2026-02-25,2025-12-31,52,Finance and Insurance,0.692966,0.763158,0.763158,11.975010323346647,11,1.2436846828106451,2026,,,,,,,,,,,,,,,,,
CMCSA_2023_1166691,37,Comcast,CMCSA,1166691,2023,2024-01-31,2023-12-31,51,Information,0.526491,0.4,0.2,10.95047315791545,3,1.3321790402101223,2024,,,,,,,,,,,,,,,,,
CMCSA_2024_1166691,37,Comcast,CMCSA,1166691,2024,2025-01-31,2024-12-31,51,Information,0.549129,0.5,0.375,10.908375070640925,3,1.4941751382893085,2025,,,,,,,,,,,,,,,,,
CMCSA_2025_1166691,37,Comcast,CMCSA,1166691,2025,2026-02-03,2025-12-31,51,Information,0.70819,0.6,0.5,10.941677282305049,4,1.5047882836811908,2026,,,,,,,,,,,,,,,,,
WFC_2023_72971,38,Wells Fargo,WFC,72971,2023,2024-02-20,2023-12-31,52,Finance and Insurance,0.0,0.0,0.0,10.09158406877277,0,0.0,2024,,,,,,,,,,,,,,,,,
WFC_2024_72971,38,Wells Fargo,WFC,72971,2024,2025-02-25,2024-12-31,52,Finance and Insurance,0.0,0.0,0.0,10.061943238228102,0,0.0,2025,,,,,,,,,,,,,,,,,
WFC_2025_72971,38,Wells Fargo,WFC,72971,2025,2026-02-24,2025-12-31,52,Finance and Insurance,0.774234,0.0,0.0,9.466222131878165,1,-0.0,2026,,,,,,,,,,,,,,,,,
MS_2023_895421,39,Morgan Stanley,MS,895421,2023,2024-02-22,2023-12-31,52,Finance and Insurance,0.451683,0.6,0.6,11.614552018058507,5,0.6730116670092565,2024,,,,,,,,,,,,,,,,,
MS_2024_895421,39,Morgan Stanley,MS,895421,2024,2025-02-21,2024-12-31,52,Finance and Insurance,0.451647,0.6,0.6,11.614633317769938,5,1.0549201679861442,2025,,,,,,,,,,,,,,,,,
MS_2025_895421,39,Morgan Stanley,MS,895421,2025,2026-02-19,2025-12-31,52,Finance and Insurance,0.994422,0.636363,0.636364,11.613829063311094,11,1.0900595686506251,2026,,,,,,,,,,,,,,,,,
VLO_2023_1035002,40,Valero Energy,VLO,1035002,2023,2024-02-22,2023-12-31,31-33,Manufacturing,0.171553,0.0,0.0,10.973202986493744,1,-0.0,2024,,,,,,,,,,,,,,,,,
VLO_2024_1035002,40,Valero Energy,VLO,1035002,2024,2025-02-26,2024-12-31,31-33,Manufacturing,0.347548,0.666667,0.666667,10.960339906956007,2,0.6365139372455026,2025,,,,,,,,,,,,,,,,,
VLO_2025_1035002,40,Valero Energy,VLO,1035002,2025,2026-02-25,2025-12-31,31-33,Manufacturing,0.338507,0.833334,0.833333,10.986698513961407,2,0.8675635581420601,2026,,,,,,,,,,,,,,,,,
DELL_2023_1571996,41,Dell Technologies,DELL,1571996,2023,2023-03-30,2023-02-03,31-33,Manufacturing,2.069884,0.090909,-0.636364,11.255436297881227,16,0.7595469503810156,2023,,,,,,,,,,,,,,,,,
DELL_2024_1571996,41,Dell Technologies,DELL,1571996,2024,2024-03-25,2024-02-02,31-33,Manufacturing,1.330743,0.192308,-0.269231,11.227188166884945,10,1.0411318302834982,2024,,,,,,,,,,,,,,,,,
DELL_2025_1571996,41,Dell Technologies,DELL,1571996,2025,2025-03-25,2025-01-31,31-33,Manufacturing,1.596998,0.220339,0.016949,11.22712162753022,12,1.1262269188130658,2025,,,,,,,,,,,,,,,,,
TGT_2023_27419,42,Target,TGT,27419,2023,2023-03-08,2023-01-28,44-45,Retail Trade,0.36523,0.0,0.0,10.21756809884244,1,-0.0,2023,,,,,,,,,,,,,,,,,
TGT_2024_27419,42,Target,TGT,27419,2024,2024-03-13,2024-02-03,44-45,Retail Trade,1.372731,0.5,0.5,10.27983276207044,4,1.0397207708399179,2024,,,,,,,,,,,,,,,,,
TGT_2025_27419,42,Target,TGT,27419,2025,2025-03-12,2025-02-01,44-45,Retail Trade,2.850898,0.666666,0.666667,10.359930905408921,9,1.2148894390589664,2025,,,,,,,,,,,,,,,,,
TSLA_2023_1318605,43,Tesla,TSLA,1318605,2023,2024-01-29,2023-12-31,31-33,Manufacturing,2.450123,0.0,-0.166667,10.953259675784764,14,0.4505617453452089,2024,,,,,,,,,,,,,,,,,
TSLA_2024_1318605,43,Tesla,TSLA,1318605,2024,2025-01-30,2024-12-31,31-33,Manufacturing,2.899601,0.130435,0.0,10.918355847771277,16,0.8378097436820959,2025,,,,,,,,,,,,,,,,,
TSLA_2025_1318605,43,Tesla,TSLA,1318605,2025,2026-01-29,2025-12-31,31-33,Manufacturing,3.147679,0.041666,-0.354167,10.954046905215318,18,0.8517837881335816,2026,,,,,,,,,,,,,,,,,
