fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share
14,Cigna Group,CI,0001739940,2023,23,2,0.086957,5,0.217391,13,0.565217,3,0.130435,10,0.434783,38,1.652174,0,0.0,31,1.347826,12,0.521739
14,Cigna Group,CI,0001739940,2024,27,3,0.111111,3,0.111111,19,0.703704,2,0.074074,14,0.518519,59,2.185185,2,0.074074,55,2.037037,33,1.222222
14,Cigna Group,CI,0001739940,2025,35,5,0.142857,3,0.085714,24,0.685714,3,0.085714,18,0.514286,68,1.942857,8,0.228571,62,1.771429,43,1.228571
15,Cardinal Health,CAH,0000721371,2024,4,1,0.25,2,0.5,0,0.0,1,0.25,0,0.0,3,0.75,0,0.0,12,3.0,9,2.25
15,Cardinal Health,CAH,0000721371,2025,3,2,0.666667,0,0.0,0,0.0,1,0.333333,1,0.333333,6,2.0,0,0.0,10,3.333333,4,1.333333
16,Nvidia,NVDA,0001045810,2023,86,4,0.046512,63,0.732558,9,0.104651,10,0.116279,25,0.290698,61,0.709302,17,0.197674,85,0.988372,186,2.162791
16,Nvidia,NVDA,0001045810,2024,111,8,0.072072,74,0.666667,15,0.135135,14,0.126126,39,0.351351,78,0.702703,24,0.216216,111,1.0,204,1.837838
16,Nvidia,NVDA,0001045810,2025,134,8,0.059701,75,0.559701,22,0.164179,29,0.216418,58,0.432836,103,0.768657,27,0.201493,127,0.947761,236,1.761194
17,Meta Platforms,META,0001326801,2023,53,8,0.150943,11,0.207547,24,0.45283,10,0.188679,26,0.490566,126,2.377358,46,0.867925,133,2.509434,49,0.924528
17,Meta Platforms,META,0001326801,2024,69,11,0.15942,16,0.231884,24,0.347826,18,0.26087,30,0.434783,181,2.623188,69,1.0,197,2.855072,76,1.101449
17,Meta Platforms,META,0001326801,2025,109,18,0.165138,27,0.247706,36,0.330275,28,0.256881,38,0.348624,215,1.972477,79,0.724771,244,2.238532,123,1.12844
18,Elevance Health,ELV,0001156039,2023,2,1,0.5,1,0.5,0,0.0,0,0.0,3,1.5,4,2.0,0,0.0,6,3.0,5,2.5
18,Elevance Health,ELV,0001156039,2024,13,5,0.384615,1,0.076923,7,0.538462,0,0.0,11,0.846154,55,4.230769,0,0.0,51,3.923077,14,1.076923
18,Elevance Health,ELV,0001156039,2025,15,4,0.266667,2,0.133333,9,0.6,0,0.0,11,0.733333,65,4.333333,0,0.0,58,3.866667,21,1.4
19,Centene,CNC,0001071739,2023,1,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,13,13.0,0,0.0,9,9.0,4,4.0
19,Centene,CNC,0001071739,2024,15,7,0.466667,0,0.0,6,0.4,2,0.133333,11,0.733333,60,4.0,0,0.0,61,4.066667,9,0.6
19,Centene,CNC,0001071739,2025,20,7,0.35,1,0.05,8,0.4,4,0.2,17,0.85,66,3.3,0,0.0,67,3.35,15,0.75
20,Bank of America,BAC,0000070858,2023,11,7,0.636364,0,0.0,0,0.0,4,0.363636,10,0.909091,43,3.909091,1,0.090909,40,3.636364,25,2.272727
20,Bank of America,BAC,0000070858,2024,23,12,0.521739,0,0.0,2,0.086957,9,0.391304,10,0.434783,97,4.217391,1,0.043478,61,2.652174,43,1.869565
20,Bank of America,BAC,0000070858,2025,30,15,0.5,0,0.0,6,0.2,9,0.3,11,0.366667,109,3.633333,1,0.033333,75,2.5,57,1.9
21,Chevron,CVX,0000093410,2023,2,0,0.0,1,0.5,0,0.0,1,0.5,3,1.5,1,0.5,0,0.0,3,1.5,1,0.5
21,Chevron,CVX,0000093410,2024,5,0,0.0,1,0.2,3,0.6,1,0.2,5,1.0,0,0.0,0,0.0,6,1.2,3,0.6
21,Chevron,CVX,0000093410,2025,8,0,0.0,0,0.0,7,0.875,1,0.125,4,0.5,15,1.875,0,0.0,13,1.625,7,0.875
22,Ford Motor,F,0000037996,2023,14,2,0.142857,1,0.071429,2,0.142857,9,0.642857,14,1.0,17,1.214286,0,0.0,36,2.571429,8,0.571429
22,Ford Motor,F,0000037996,2024,15,3,0.2,0,0.0,2,0.133333,10,0.666667,14,0.933333,24,1.6,0,0.0,62,4.133333,7,0.466667
22,Ford Motor,F,0000037996,2025,7,3,0.428571,0,0.0,2,0.285714,2,0.285714,10,1.428571,18,2.571429,0,0.0,43,6.142857,4,0.571429
23,General Motors,GM,0001467858,2024,3,1,0.333333,0,0.0,0,0.0,2,0.666667,0,0.0,3,1.0,0,0.0,6,2.0,2,0.666667
23,General Motors,GM,0001467858,2025,11,5,0.454545,2,0.181818,1,0.090909,3,0.272727,4,0.363636,26,2.363636,0,0.0,47,4.272727,7,0.636364
24,Citigroup,C,0000831001,2023,4,2,0.5,0,0.0,2,0.5,0,0.0,0,0.0,17,4.25,0,0.0,5,1.25,4,1.0
24,Citigroup,C,0000831001,2024,13,3,0.230769,1,0.076923,5,0.384615,4,0.307692,5,0.384615,42,3.230769,6,0.461538,12,0.923077,25,1.923077
24,Citigroup,C,0000831001,2025,24,6,0.25,0,0.0,10,0.416667,8,0.333333,19,0.791667,77,3.208333,5,0.208333,33,1.375,39,1.625
25,Home Depot,HD,0000354950,2023,1,0,0.0,1,1.0,0,0.0,0,0.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0
25,Home Depot,HD,0000354950,2024,4,1,0.25,1,0.25,0,0.0,2,0.5,4,1.0,7,1.75,0,0.0,14,3.5,13,3.25
25,Home Depot,HD,0000354950,2025,5,2,0.4,1,0.2,1,0.2,1,0.2,5,1.0,8,1.6,0,0.0,18,3.6,15,3.0
26,Fannie Mae,FNMA,0000310522,2023,15,3,0.2,1,0.066667,8,0.533333,3,0.2,5,0.333333,58,3.866667,0,0.0,33,2.2,33,2.2
26,Fannie Mae,FNMA,0000310522,2024,21,3,0.142857,1,0.047619,12,0.571429,5,0.238095,12,0.571429,75,3.571429,0,0.0,44,2.095238,55,2.619048
26,Fannie Mae,FNMA,0000310522,2025,28,8,0.285714,4,0.142857,14,0.5,2,0.071429,16,0.571429,96,3.428571,0,0.0,54,1.928571,60,2.142857
27,Kroger,KR,0000056873,2024,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,0,0.0
27,Kroger,KR,0000056873,2025,6,2,0.333333,0,0.0,3,0.5,1,0.166667,11,1.833333,26,4.333333,0,0.0,23,3.833333,9,1.5
28,Verizon Communications,VZ,0000732712,2023,3,1,0.333333,0,0.0,1,0.333333,1,0.333333,0,0.0,5,1.666667,1,0.333333,7,2.333333,1,0.333333
28,Verizon Communications,VZ,0000732712,2024,10,2,0.2,0,0.0,5,0.5,3,0.3,10,1.0,14,1.4,1,0.1,9,0.9,7,0.7
28,Verizon Communications,VZ,0000732712,2025,18,2,0.111111,6,0.333333,6,0.333333,4,0.222222,17,0.944444,24,1.333333,1,0.055556,21,1.166667,17,0.944444
29,Phillips 66,PSX,0001534701,2024,2,1,0.5,0,0.0,0,0.0,1,0.5,5,2.5,6,3.0,0,0.0,8,4.0,2,1.0
29,Phillips 66,PSX,0001534701,2025,2,1,0.5,0,0.0,0,0.0,1,0.5,5,2.5,6,3.0,0,0.0,8,4.0,2,1.0
30,Marathon Petroleum,MPC,0001510295,2023,2,1,0.5,0,0.0,0,0.0,1,0.5,2,1.0,3,1.5,0,0.0,5,2.5,5,2.5
30,Marathon Petroleum,MPC,0001510295,2024,5,1,0.2,0,0.0,4,0.8,0,0.0,2,0.4,12,2.4,2,0.4,9,1.8,5,1.0
30,Marathon Petroleum,MPC,0001510295,2025,5,2,0.4,0,0.0,3,0.6,0,0.0,2,0.4,12,2.4,2,0.4,9,1.8,6,1.2
33,Freddie Mac,FMCC,0001026214,2023,15,4,0.266667,0,0.0,9,0.6,2,0.133333,3,0.2,62,4.133333,6,0.4,40,2.666667,11,0.733333
33,Freddie Mac,FMCC,0001026214,2024,18,4,0.222222,0,0.0,11,0.611111,3,0.166667,6,0.333333,80,4.444444,5,0.277778,46,2.555556,17,0.944444
33,Freddie Mac,FMCC,0001026214,2025,19,4,0.210526,1,0.052632,11,0.578947,3,0.157895,4,0.210526,65,3.421053,4,0.210526,48,2.526316,11,0.578947
34,Humana,HUM,0000049071,2024,3,1,0.333333,0,0.0,2,0.666667,0,0.0,4,1.333333,14,4.666667,0,0.0,19,6.333333,18,6.0
34,Humana,HUM,0000049071,2025,6,3,0.5,0,0.0,3,0.5,0,0.0,7,1.166667,15,2.5,0,0.0,25,4.166667,22,3.666667
35,AT&T,T,0000732717,2023,5,1,0.2,0,0.0,2,0.4,2,0.4,8,1.6,9,1.8,0,0.0,11,2.2,4,0.8
35,AT&T,T,0000732717,2024,7,1,0.142857,3,0.428571,2,0.285714,1,0.142857,9,1.285714,17,2.428571,7,1.0,11,1.571429,7,1.0
35,AT&T,T,0000732717,2025,14,2,0.142857,4,0.285714,4,0.285714,4,0.285714,16,1.142857,26,1.857143,11,0.785714,24,1.714286,11,0.785714
36,Goldman Sachs Group,GS,0000886982,2023,19,5,0.263158,0,0.0,10,0.526316,4,0.210526,6,0.315789,53,2.789474,1,0.052632,22,1.157895,33,1.736842
36,Goldman Sachs Group,GS,0000886982,2024,32,8,0.25,0,0.0,14,0.4375,10,0.3125,24,0.75,87,2.71875,1,0.03125,45,1.40625,43,1.34375
36,Goldman Sachs Group,GS,0000886982,2025,38,7,0.184211,0,0.0,18,0.473684,13,0.342105,28,0.736842,85,2.236842,1,0.026316,37,0.973684,40,1.052632
37,Comcast,CMCSA,0001166691,2023,5,1,0.2,2,0.4,1,0.2,1,0.2,4,0.8,8,1.6,8,1.6,3,0.6,2,0.4
37,Comcast,CMCSA,0001166691,2024,8,1,0.125,2,0.25,3,0.375,2,0.25,4,0.5,9,1.125,8,1.0,3,0.375,2,0.25
37,Comcast,CMCSA,0001166691,2025,10,2,0.2,2,0.2,3,0.3,3,0.3,5,0.5,17,1.7,17,1.7,4,0.4,2,0.2
38,Wells Fargo,WFC,0000072971,2025,1,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39,Morgan Stanley,MS,0000895421,2023,5,3,0.6,0,0.0,0,0.0,2,0.4,0,0.0,11,2.2,0,0.0,12,2.4,11,2.2
39,Morgan Stanley,MS,0000895421,2024,5,3,0.6,0,0.0,0,0.0,2,0.4,1,0.2,10,2.0,0,0.0,14,2.8,11,2.2
39,Morgan Stanley,MS,0000895421,2025,11,5,0.454545,0,0.0,0,0.0,6,0.545455,5,0.454545,33,3.0,0,0.0,35,3.181818,20,1.818182
40,Valero Energy,VLO,0001035002,2023,1,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,2,2.0,1,1.0,3,3.0
40,Valero Energy,VLO,0001035002,2024,3,2,0.666667,0,0.0,0,0.0,1,0.333333,2,0.666667,5,1.666667,1,0.333333,7,2.333333,6,2.0
40,Valero Energy,VLO,0001035002,2025,6,5,0.833333,0,0.0,0,0.0,1,0.166667,4,0.666667,14,2.333333,0,0.0,16,2.666667,13,2.166667
41,Dell Technologies,DELL,0001571996,2023,11,1,0.090909,8,0.727273,0,0.0,2,0.181818,7,0.636364,6,0.545455,1,0.090909,16,1.454545,12,1.090909
41,Dell Technologies,DELL,0001571996,2024,26,0,0.0,15,0.576923,5,0.192308,6,0.230769,13,0.5,35,1.346154,1,0.038462,17,0.653846,22,0.846154
41,Dell Technologies,DELL,0001571996,2025,59,2,0.033898,15,0.254237,11,0.186441,31,0.525424,50,0.847458,74,1.254237,3,0.050847,54,0.915254,44,0.745763
42,Target,TGT,0000027419,2023,1,0,0.0,0,0.0,0,0.0,1,1.0,5,5.0,0,0.0,0,0.0,0,0.0,2,2.0
42,Target,TGT,0000027419,2024,4,1,0.25,1,0.25,0,0.0,2,0.5,3,0.75,11,2.75,2,0.5,10,2.5,1,0.25
42,Target,TGT,0000027419,2025,9,1,0.111111,0,0.0,4,0.444444,4,0.444444,3,0.333333,12,1.333333,3,0.333333,7,0.777778,3,0.333333
43,Tesla,TSLA,0001318605,2023,12,0,0.0,4,0.333333,0,0.0,8,0.666667,12,1.0,1,0.083333,2,0.166667,3,0.25,8,0.666667
43,Tesla,TSLA,0001318605,2024,23,2,0.086957,4,0.173913,0,0.0,17,0.73913,20,0.869565,12,0.521739,2,0.086957,20,0.869565,18,0.782609
43,Tesla,TSLA,0001318605,2025,48,2,0.041667,23,0.479167,0,0.0,23,0.479167,37,0.770833,16,0.333333,16,0.333333,27,0.5625,58,1.208333
44,Walt Disney,DIS,0001744489,2023,3,0,0.0,0,0.0,2,0.666667,1,0.333333,1,0.333333,10,3.333333,2,0.666667,1,0.333333,2,0.666667
44,Walt Disney,DIS,0001744489,2024,7,2,0.285714,0,0.0,3,0.428571,2,0.285714,3,0.428571,20,2.857143,11,1.571429,5,0.714286,4,0.571429
44,Walt Disney,DIS,0001744489,2025,7,1,0.142857,0,0.0,3,0.428571,3,0.428571,4,0.571429,18,2.571429,5,0.714286,6,0.857143,4,0.571429
45,Johnson & Johnson,JNJ,0000200406,2023,7,2,0.285714,0,0.0,4,0.571429,1,0.142857,4,0.571429,18,2.571429,0,0.0,19,2.714286,0,0.0
45,Johnson & Johnson,JNJ,0000200406,2024,6,2,0.333333,0,0.0,4,0.666667,0,0.0,3,0.5,18,3.0,0,0.0,19,3.166667,0,0.0
45,Johnson & Johnson,JNJ,0000200406,2025,6,2,0.333333,0,0.0,4,0.666667,0,0.0,3,0.5,18,3.0,0,0.0,19,3.166667,0,0.0
46,PepsiCo,PEP,0000077476,2023,8,3,0.375,0,0.0,0,0.0,5,0.625,11,1.375,10,1.25,1,0.125,11,1.375,8,1.0
46,PepsiCo,PEP,0000077476,2024,13,3,0.230769,0,0.0,2,0.153846,8,0.615385,17,1.307692,14,1.076923,2,0.153846,13,1.0,10,0.769231
46,PepsiCo,PEP,0000077476,2025,17,4,0.235294,2,0.117647,2,0.117647,9,0.529412,14,0.823529,23,1.352941,2,0.117647,31,1.823529,16,0.941176
47,Boeing,BA,0000012927,2023,1,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,3,3.0,0,0.0,2,2.0,1,1.0
47,Boeing,BA,0000012927,2024,1,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,3,3.0,0,0.0,2,2.0,1,1.0
47,Boeing,BA,0000012927,2025,1,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,3,3.0,0,0.0,2,2.0,1,1.0
48,UPS,UPS,0001090727,2023,4,1,0.25,2,0.5,0,0.0,1,0.25,4,1.0,3,0.75,0,0.0,4,1.0,0,0.0
48,UPS,UPS,0001090727,2024,5,1,0.2,1,0.2,0,0.0,3,0.6,7,1.4,3,0.6,0,0.0,4,0.8,0,0.0
48,UPS,UPS,0001090727,2025,12,6,0.5,5,0.416667,0,0.0,1,0.083333,19,1.583333,12,1.0,0,0.0,34,2.833333,3,0.25
49,RTX,RTX,0000101829,2023,4,1,0.25,0,0.0,0,0.0,3,0.75,3,0.75,5,1.25,0,0.0,3,0.75,3,0.75
49,RTX,RTX,0000101829,2024,10,2,0.2,0,0.0,3,0.3,5,0.5,14,1.4,18,1.8,0,0.0,10,1.0,15,1.5
49,RTX,RTX,0000101829,2025,9,3,0.333333,0,0.0,3,0.333333,3,0.333333,5,0.555556,13,1.444444,0,0.0,10,1.111111,9,1.0
50,FedEx,FDX,0001048911,2023,8,2,0.25,3,0.375,0,0.0,3,0.375,7,0.875,10,1.25,0,0.0,16,2.0,10,1.25
50,FedEx,FDX,0001048911,2024,19,8,0.421053,6,0.315789,0,0.0,5,0.263158,15,0.789474,29,1.526316,0,0.0,47,2.473684,22,1.157895
50,FedEx,FDX,0001048911,2025,19,9,0.473684,5,0.263158,0,0.0,5,0.263158,17,0.894737,28,1.473684,0,0.0,48,2.526316,21,1.105263
51,Progressive,PGR,0000080661,2023,17,2,0.117647,0,0.0,12,0.705882,3,0.176471,1,0.058824,4,0.235294,0,0.0,7,0.411765,16,0.941176
51,Progressive,PGR,0000080661,2024,17,2,0.117647,0,0.0,15,0.882353,0,0.0,2,0.117647,5,0.294118,0,0.0,4,0.235294,13,0.764706
51,Progressive,PGR,0000080661,2025,18,3,0.166667,0,0.0,15,0.833333,0,0.0,6,0.333333,11,0.611111,0,0.0,10,0.555556,17,0.944444
52,Lowe's,LOW,0000060667,2024,3,1,0.333333,0,0.0,0,0.0,2,0.666667,0,0.0,6,2.0,0,0.0,7,2.333333,2,0.666667
52,Lowe's,LOW,0000060667,2025,13,3,0.230769,4,0.307692,5,0.384615,1,0.076923,5,0.384615,41,3.153846,0,0.0,29,2.230769,10,0.769231
53,Energy Transfer,ET,0001276187,2023,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,2,2.0,4,4.0,1,1.0
53,Energy Transfer,ET,0001276187,2024,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,5,5.0,2,2.0,7,7.0,2,2.0
53,Energy Transfer,ET,0001276187,2025,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,5,5.0,2,2.0,7,7.0,2,2.0
54,Procter & Gamble,PG,0000080424,2024,5,3,0.6,0,0.0,0,0.0,2,0.4,9,1.8,27,5.4,2,0.4,21,4.2,12,2.4
54,Procter & Gamble,PG,0000080424,2025,6,3,0.5,0,0.0,0,0.0,3,0.5,9,1.5,26,4.333333,2,0.333333,22,3.666667,13,2.166667
55,Sysco,SYY,0000096021,2023,2,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,2,1.0,3,1.5
55,Sysco,SYY,0000096021,2024,11,2,0.181818,2,0.181818,4,0.363636,3,0.272727,6,0.545455,22,2.0,2,0.181818,20,1.818182,10,0.909091
55,Sysco,SYY,0000096021,2025,11,2,0.181818,2,0.181818,4,0.363636,3,0.272727,6,0.545455,22,2.0,2,0.181818,20,1.818182,10,0.909091
56,American Express,AXP,0000004962,2023,16,6,0.375,0,0.0,4,0.25,6,0.375,27,1.6875,73,4.5625,0,0.0,115,7.1875,41,2.5625
56,American Express,AXP,0000004962,2024,28,13,0.464286,0,0.0,7,0.25,8,0.285714,34,1.214286,141,5.035714,0,0.0,229,8.178571,68,2.428571
56,American Express,AXP,0000004962,2025,37,13,0.351351,1,0.027027,14,0.378378,9,0.243243,39,1.054054,127,3.432432,2,0.054054,187,5.054054,68,1.837838
57,Albertsons,ACI,0001646972,2024,9,1,0.111111,0,0.0,7,0.777778,1,0.111111,1,0.111111,26,2.888889,3,0.333333,10,1.111111,7,0.777778
57,Albertsons,ACI,0001646972,2025,11,4,0.363636,0,0.0,6,0.545455,1,0.090909,7,0.636364,22,2.0,3,0.272727,9,0.818182,7,0.636364
58,Archer Daniels Midland,ADM,0000007084,2023,5,1,0.2,0,0.0,3,0.6,1,0.2,6,1.2,23,4.6,0,0.0,24,4.8,4,0.8
58,Archer Daniels Midland,ADM,0000007084,2024,17,4,0.235294,0,0.0,12,0.705882,1,0.058824,10,0.588235,50,2.941176,0,0.0,47,2.764706,31,1.823529
58,Archer Daniels Midland,ADM,0000007084,2025,17,3,0.176471,0,0.0,14,0.823529,0,0.0,4,0.235294,41,2.411765,0,0.0,45,2.647059,32,1.882353
59,MetLife,MET,0001099219,2023,11,1,0.090909,0,0.0,9,0.818182,1,0.090909,0,0.0,10,0.909091,0,0.0,21,1.909091,14,1.272727
59,MetLife,MET,0001099219,2024,13,1,0.076923,0,0.0,9,0.692308,3,0.230769,1,0.076923,13,1.0,0,0.0,27,2.076923,16,1.230769
59,MetLife,MET,0001099219,2025,13,2,0.153846,1,0.076923,6,0.461538,4,0.307692,6,0.461538,24,1.846154,0,0.0,35,2.692308,9,0.692308
60,HCA Healthcare,HCA,0000860730,2023,11,3,0.272727,0,0.0,7,0.636364,1,0.090909,3,0.272727,19,1.727273,0,0.0,17,1.545455,6,0.545455
60,HCA Healthcare,HCA,0000860730,2024,32,5,0.15625,0,0.0,26,0.8125,1,0.03125,15,0.46875,59,1.84375,3,0.09375,33,1.03125,25,0.78125
60,HCA Healthcare,HCA,0000860730,2025,41,5,0.121951,5,0.121951,28,0.682927,3,0.073171,25,0.609756,69,1.682927,3,0.073171,53,1.292683,41,1.0
61,Lockheed Martin,LMT,0000936468,2023,3,1,0.333333,1,0.333333,0,0.0,1,0.333333,0,0.0,6,2.0,0,0.0,6,2.0,2,0.666667
61,Lockheed Martin,LMT,0000936468,2024,5,1,0.2,3,0.6,0,0.0,1,0.2,0,0.0,9,1.8,0,0.0,8,1.6,2,0.4
61,Lockheed Martin,LMT,0000936468,2025,6,1,0.166667,3,0.5,0,0.0,2,0.333333,2,0.333333,10,1.666667,0,0.0,9,1.5,4,0.666667
63,Capital One Financial,COF,0000927628,2023,25,5,0.2,0,0.0,9,0.36,11,0.44,13,0.52,97,3.88,0,0.0,91,3.64,49,1.96
63,Capital One Financial,COF,0000927628,2024,30,5,0.166667,0,0.0,14,0.466667,11,0.366667,12,0.4,103,3.433333,4,0.133333,97,3.233333,49,1.633333
63,Capital One Financial,COF,0000927628,2025,49,6,0.122449,1,0.020408,28,0.571429,14,0.285714,18,0.367347,131,2.673469,7,0.142857,135,2.755102,78,1.591837
64,Allstate,ALL,0000899051,2023,2,0,0.0,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,3,1.5,1,0.5
64,Allstate,ALL,0000899051,2024,9,2,0.222222,0,0.0,4,0.444444,3,0.333333,13,1.444444,22,2.444444,0,0.0,28,3.111111,9,1.0
