candidate_k,n_windows,silhouette_score,davies_bouldin_score,calinski_harabasz_score,topic_coherence_umass,min_topic_size,min_topic_share,topic_size_distribution,topic_terms_preview,silhouette_norm,davies_bouldin_norm_inverted,calinski_harabasz_norm,topic_coherence_norm,min_topic_share_norm,composite_score,rank
4,4254,0.049656,3.333783,239.518898,-1.391768,729,0.171368,0:729; 1:1240; 2:1249; 3:1036,"T0:data, cybersecurity, information, security, including, privacy, laws, systems | T1:ai, cloud, solutions, services, software, customers, products, data | T2:ai, use, technologies, risks, use ai, business, legal, regulatory | T3:products, including, business, changes, services, financial, new, ai",0.655553,0.200548,1.0,0.617823,1.0,0.694785,1
5,4254,0.05446,3.240411,208.058901,-1.35984,408,0.09591,0:526; 1:967; 2:408; 3:1119; 4:1234,"T0:data, laws, regulations, including, privacy, business, protection, laws regulations | T1:products, including, business, services, ai, new, revenue, changes | T2:cybersecurity, attacks, security, cyber, information, systems, risk, threats | T3:ai, cloud, software, solutions, services, customers, platform, data | T4:ai, use, risks, technologies, use ai, business, legal, regulatory",1.0,0.441458,0.791474,0.683431,0.544036,0.69208,2
6,4254,0.052034,3.330987,187.571468,-1.494267,404,0.094969,0:515; 1:710; 2:404; 3:1068; 4:716; 5:841,"T0:data, laws, regulations, including, privacy, business, protection, information | T1:cloud, ai, software, intel, solutions, nvidia, computing, data | T2:cybersecurity, attacks, security, cyber, information, systems, threats, risk | T3:ai, use, risks, technologies, use ai, legal, regulatory, laws | T4:ai, products, new, services, technologies, generative, business, development | T5:products, including, business, services, changes, revenue, ai, capital",0.826056,0.207762,0.655678,0.407201,0.53835,0.527009,3
7,4254,0.043141,3.410447,170.226208,-1.205782,392,0.092149,0:552; 1:503; 2:498; 3:671; 4:786; 5:852; 6:392,"T0:ai, cloud, intel, software, nvidia, solutions, computing, edge | T1:laws, regulations, ai, data, laws regulations, act, privacy, regulatory | T2:including, business, changes, risk, financial, products, ability, data | T3:ai, products, google, services, new, solutions, customers, capabilities | T4:products, services, ai, including, revenue, business, new, demand | T5:ai, use, risks, technologies, use ai, business, legal, harm | T6:cybersecurity, attacks, security, information, cyber, systems, risk, threats",0.188428,0.002745,0.540709,1.0,0.521309,0.450638,4
10,4254,0.047195,3.334849,137.411372,-1.450722,240,0.056417,0:304; 1:560; 2:575; 3:322; 4:323; 5:786; 6:353; 7:370; 8:240; 9:421,"T0:changes, risk, including, business, financial, ability, credit, capital | T1:ai, products, google, generative, new, generative ai, services, intelligence | T2:products, services, new, including, business, ai, technologies, customers | T3:nvidia, intel, ai, computing, software, gpus, data center, center | T4:data, laws, privacy, regulations, protection, laws regulations, information, security | T5:ai, use, risks, technologies, use ai, business, harm, legal | T6:ai, laws, regulations, act, laws regulations, use, eu, regulatory | T7:cybersecurity, attacks, cyber, security, information, systems, threats, risk | T8:billion, 2025, year, 2024, net, revenue, fiscal, 2023 | T9:cloud, solutions, ai, infrastructure, customers, services, oracle, edge",0.479099,0.197797,0.323203,0.49668,0.305394,0.360435,5
8,4254,0.042965,3.411511,156.845374,-1.403539,350,0.082276,0:387; 1:514; 2:395; 3:488; 4:350; 5:701; 6:813; 7:606,"T0:cybersecurity, attacks, information, cyber, security, systems, threats, risk | T1:including, business, changes, risk, products, financial, ability, data | T2:cloud, solutions, ai, services, infrastructure, oracle, customers, platform | T3:laws, ai, regulations, data, laws regulations, act, privacy, regulatory | T4:intel, nvidia, ai, computing, software, gpus, data center, compute | T5:products, revenue, services, ai, including, business, new, demand | T6:ai, use, risks, technologies, use ai, business, legal, harm | T7:ai, products, new, services, technologies, generative, intelligence, artificial",0.175808,0.0,0.452017,0.593635,0.46165,0.336622,6
9,4254,0.043989,3.396676,146.488667,-1.465391,349,0.08204,0:425; 1:375; 2:533; 3:391; 4:408; 5:386; 6:794; 7:593; 8:349,"T0:data, laws, including, regulations, business, privacy, protection, information | T1:cybersecurity, attacks, cyber, security, information, systems, threats, risk | T2:ai, products, google, generative, new, generative ai, technology, services | T3:capital, billion, net, including, 2024, 2025, changes, risk | T4:cloud, solutions, infrastructure, ai, customers, services, oracle, platform | T5:ai, laws, regulations, act, laws regulations, use, regulatory, eu | T6:ai, use, risks, technologies, use ai, business, harm, legal | T7:products, services, new, business, including, ai, demand, customer | T8:intel, nvidia, ai, computing, software, gpus, data center, compute",0.249229,0.038276,0.38337,0.466537,0.460224,0.319527,7
20,4254,0.046737,3.023932,88.650161,-1.692431,25,0.005877,0:265; 1:236; 2:303; 3:116; 4:25; 5:263; 6:255; 7:106; 8:324; 9:482; 10:233; 11:195; 12:100; 13:135; 14:194; 15:210; 16:358; 17:216; 18:135; 19:103,"T0:risk, changes, including, financial, business, credit, ability, risks | T1:ai, google, gemini, users, products, platform, people, new | T2:products, services, new, including, technologies, competitors, business, changes | T3:claims, content, including, rights, damages, media, use, business | T4:accounts, metrics, user, user accounts, family, family metrics, estimates, multiple | T5:cloud, oracle, solutions, infrastructure, customers, services, security, ai | T6:ai, laws, regulations, act, eu, laws regulations, regulatory, ai act | T7:hpc, ai hpc, hpc data, data center, center, data, ai, infrastructure | T8:ai, products, technologies, business, services, investments, products services, new | T9:ai, risks, use, harm, legal, use ai, technologies, issues | T10:data, laws, privacy, regulations, protection, laws regulations, information, data protection | T11:care, health, health care, ai, use, insurance, patient, technology | T12:export, restrictions, products, controls, including, regulations, laws, export controls | T13:nvidia, ai, software, gpus, computing, rtx, cloud, graphics | T14:billion, 2025, 2024, net, year, fiscal, revenue, 2023 | T15:intel, ai, performance, workloads, processors, edge, compute, computing | T16:cybersecurity, attacks, cyber, information, security, systems, threats, risk | T17:ai, use, generative, risks, models, generative ai, artificial, artificial intelligence | T18:automation, distribution, fedex, solutions, including, systems, manufacturing, services | T19:microsoft, azure, ai, cloud, 365, copilot, services, microsoft 365",0.446261,1.0,0.0,0.0,0.0,0.289252,8
11,4254,0.043213,3.400095,129.191003,-1.460695,252,0.059238,0:252; 1:320; 2:731; 3:361; 4:403; 5:344; 6:313; 7:445; 8:319; 9:402; 10:364,"T0:billion, 2025, year, 2024, net, fiscal, revenue, operating | T1:risk, including, changes, business, financial, credit, ability, risks | T2:ai, use, risks, technologies, use ai, harm, business, legal | T3:cybersecurity, attacks, cyber, security, information, systems, threats, risk | T4:cloud, solutions, infrastructure, ai, customers, services, oracle, edge | T5:ai, laws, regulations, act, use, laws regulations, eu, regulatory | T6:nvidia, intel, ai, computing, software, gpus, data center, center | T7:ai, products, technologies, services, business, new, products services, investments | T8:data, laws, regulations, privacy, protection, laws regulations, information, security | T9:products, services, including, new, business, customers, customer, demand | T10:ai, google, care, generative, generative ai, learning, intelligence, artificial",0.19359,0.029455,0.268716,0.476187,0.32244,0.258078,9
14,4254,0.040968,3.280801,110.447812,-1.464934,147,0.034556,0:236; 1:360; 2:545; 3:147; 4:286; 5:213; 6:350; 7:275; 8:422; 9:337; 10:270; 11:182; 12:366; 13:265,"T0:data, laws, privacy, regulations, protection, information, laws regulations, security | T1:cybersecurity, attacks, cyber, security, information, systems, threats, threat | T2:ai, use, risks, harm, technologies, use ai, legal, business | T3:nvidia, ai, software, gpus, computing, rtx, cloud, platform | T4:ai, laws, regulations, act, eu, laws regulations, regulatory, ai act | T5:intel, ai, performance, workloads, processors, compute, edge, computing | T6:cloud, solutions, infrastructure, services, oracle, customers, ai, security | T7:products, services, including, automation, customer, distribution, customers, digital | T8:products, ai, services, new, business, technologies, products services, continue | T9:ai, google, microsoft, users, products, gemini, new, people | T10:billion, 2025, 2024, year, net, capital, fiscal, revenue | T11:care, health, health care, ai, use, patient, insurance, intelligence | T12:including, changes, business, financial, products, risk, ability, impact | T13:ai, use, risks, models, generative, artificial, artificial intelligence, intelligence",0.032624,0.337247,0.144481,0.467477,0.173296,0.231025,10
