fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share,k,k5_topic_0_label,k5_topic_1_label,k5_topic_2_label,k5_topic_3_label,k5_topic_4_label,AI_Privacy_Data_Law_Topic_Count,AI_Privacy_Data_Law_Topic_Share,AI_Business_Product_Topic_Count,AI_Business_Product_Topic_Share,AI_Cybersecurity_Risk_Topic_Count,AI_Cybersecurity_Risk_Topic_Share,AI_Infrastructure_Topic_Count,AI_Infrastructure_Topic_Share,AI_AIUse_LegalRisk_Topic_Count,AI_AIUse_LegalRisk_Topic_Share,AI_NegativeSensitive_Topic_Count,AI_NegativeSensitive_Topic_Share,AI_Negative_Orientation,AI_Dominant_Topic_ID,AI_Dominant_Topic_Label
6,CVS Health,CVS,0000064803,2025,13,2,0.153846,2,0.153846,2,0.153846,4,0.307692,3,0.230769,19,1.461538,39,3.0,0,0.0,42,3.230769,14,1.076923,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,2,0.153846,2,0.153846,2,0.153846,4,0.307692,3,0.230769,7,0.538461,0.230769,3,ai_cloud_platform_infrastructure
7,Berkshire Hathaway,BRK-B,0001067983,2025,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,3.0,0,0.0,8,4.0,2,1.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,1.0,0,privacy_data_law_protection
8,McKesson,MCK,0000927653,2023,3,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,7,2.333333,3,1.0,0,0.0,3,1.0,0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,business_product_service_revenue
8,McKesson,MCK,0000927653,2024,13,2,0.153846,6,0.461538,1,0.076923,1,0.076923,3,0.230769,20,1.538462,15,1.153846,0,0.0,24,1.846154,6,0.461538,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,2,0.153846,6,0.461538,1,0.076923,1,0.076923,3,0.230769,6,0.461538,0.384615,1,business_product_service_revenue
8,McKesson,MCK,0000927653,2025,24,5,0.208333,7,0.291667,2,0.083333,1,0.041667,9,0.375,28,1.166667,47,1.958333,0,0.0,80,3.333333,10,0.416667,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,5,0.208333,7,0.291667,2,0.083333,1,0.041667,9,0.375,16,0.666666,0.625,4,ai_use_legal_regulatory_risk
9,Exxon Mobil,XOM,0000034088,2025,3,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,4,1.333333,4,1.333333,1,0.333333,5,1.666667,0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,business_product_service_revenue
10,Cencora,COR,0001140859,2023,3,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,5,1.666667,2,0.666667,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,1,0.333333,0.333333,1,business_product_service_revenue
10,Cencora,COR,0001140859,2024,3,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,5,1.666667,2,0.666667,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,1,0.333333,0.333333,1,business_product_service_revenue
10,Cencora,COR,0001140859,2025,17,3,0.176471,3,0.176471,5,0.294118,0,0.0,6,0.352941,12,0.705882,50,2.941176,0,0.0,63,3.705882,14,0.823529,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.176471,3,0.176471,5,0.294118,0,0.0,6,0.352941,14,0.82353,0.823529,4,ai_use_legal_regulatory_risk
11,Microsoft,MSFT,0000789019,2023,71,3,0.042254,3,0.042254,4,0.056338,49,0.690141,12,0.169014,50,0.704225,71,1.0,19,0.267606,81,1.140845,100,1.408451,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.042254,3,0.042254,4,0.056338,49,0.690141,12,0.169014,19,0.267606,-0.422535,3,ai_cloud_platform_infrastructure
11,Microsoft,MSFT,0000789019,2024,99,5,0.050505,13,0.131313,6,0.060606,61,0.616162,14,0.141414,66,0.666667,101,1.020202,29,0.292929,115,1.161616,146,1.474747,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,5,0.050505,13,0.131313,6,0.060606,61,0.616162,14,0.141414,25,0.252525,-0.363636,3,ai_cloud_platform_infrastructure
11,Microsoft,MSFT,0000789019,2025,87,4,0.045977,20,0.229885,9,0.103448,37,0.425287,17,0.195402,82,0.942529,114,1.310345,18,0.206897,97,1.114943,176,2.022989,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4,0.045977,20,0.229885,9,0.103448,37,0.425287,17,0.195402,30,0.344827,-0.08046,3,ai_cloud_platform_infrastructure
12,JPMorgan Chase,JPM,0000019617,2023,3,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,0,0.0,9,3.0,0,0.0,7,2.333333,12,4.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,1,0.333333,0.333333,1,business_product_service_revenue
12,JPMorgan Chase,JPM,0000019617,2024,11,5,0.454545,4,0.363636,2,0.181818,0,0.0,0,0.0,2,0.181818,37,3.363636,2,0.181818,38,3.454545,22,2.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,5,0.454545,4,0.363636,2,0.181818,0,0.0,0,0.0,7,0.636363,0.636364,0,privacy_data_law_protection
12,JPMorgan Chase,JPM,0000019617,2025,17,3,0.176471,9,0.529412,3,0.176471,0,0.0,2,0.117647,15,0.882353,40,2.352941,1,0.058824,55,3.235294,46,2.705882,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.176471,9,0.529412,3,0.176471,0,0.0,2,0.117647,8,0.470589,0.470588,1,business_product_service_revenue
13,Costco Wholesale,COST,0000909832,2024,2,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,2,1.0,7,3.5,0,0.0,12,6.0,0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0.5,0,privacy_data_law_protection
13,Costco Wholesale,COST,0000909832,2025,2,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,2,1.0,7,3.5,0,0.0,12,6.0,0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0.5,0,privacy_data_law_protection
14,Cigna Group,CI,0001739940,2023,23,2,0.086957,1,0.043478,2,0.086957,5,0.217391,13,0.565217,10,0.434783,38,1.652174,0,0.0,31,1.347826,12,0.521739,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,2,0.086957,1,0.043478,2,0.086957,5,0.217391,13,0.565217,17,0.739131,0.521739,4,ai_use_legal_regulatory_risk
14,Cigna Group,CI,0001739940,2024,27,3,0.111111,0,0.0,2,0.074074,3,0.111111,19,0.703704,14,0.518519,59,2.185185,2,0.074074,55,2.037037,33,1.222222,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.111111,0,0.0,2,0.074074,3,0.111111,19,0.703704,24,0.888889,0.777778,4,ai_use_legal_regulatory_risk
14,Cigna Group,CI,0001739940,2025,35,3,0.085714,1,0.028571,3,0.085714,3,0.085714,25,0.714286,18,0.514286,68,1.942857,8,0.228571,62,1.771429,43,1.228571,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.085714,1,0.028571,3,0.085714,3,0.085714,25,0.714286,31,0.885714,0.8,4,ai_use_legal_regulatory_risk
15,Cardinal Health,CAH,0000721371,2024,4,1,0.25,3,0.75,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,0,0.0,12,3.0,9,2.25,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,0.25,3,0.75,0,0.0,0,0.0,0,0.0,1,0.25,0.25,1,business_product_service_revenue
15,Cardinal Health,CAH,0000721371,2025,3,1,0.333333,1,0.333333,1,0.333333,0,0.0,0,0.0,1,0.333333,6,2.0,0,0.0,10,3.333333,4,1.333333,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,0.333333,1,0.333333,1,0.333333,0,0.0,0,0.0,2,0.666666,0.666667,0,privacy_data_law_protection
16,Nvidia,NVDA,0001045810,2023,86,8,0.093023,8,0.093023,0,0.0,61,0.709302,9,0.104651,25,0.290698,61,0.709302,17,0.197674,85,0.988372,186,2.162791,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,8,0.093023,8,0.093023,0,0.0,61,0.709302,9,0.104651,17,0.197674,-0.511628,3,ai_cloud_platform_infrastructure
16,Nvidia,NVDA,0001045810,2024,111,15,0.135135,9,0.081081,3,0.027027,70,0.630631,14,0.126126,39,0.351351,78,0.702703,24,0.216216,111,1.0,204,1.837838,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,15,0.135135,9,0.081081,3,0.027027,70,0.630631,14,0.126126,32,0.288288,-0.342342,3,ai_cloud_platform_infrastructure
16,Nvidia,NVDA,0001045810,2025,134,24,0.179104,13,0.097015,2,0.014925,73,0.544776,22,0.164179,58,0.432836,103,0.768657,27,0.201493,127,0.947761,236,1.761194,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,24,0.179104,13,0.097015,2,0.014925,73,0.544776,22,0.164179,48,0.358208,-0.186567,3,ai_cloud_platform_infrastructure
17,Meta Platforms,META,0001326801,2023,53,10,0.188679,11,0.207547,0,0.0,9,0.169811,23,0.433962,26,0.490566,126,2.377358,46,0.867925,133,2.509434,49,0.924528,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,10,0.188679,11,0.207547,0,0.0,9,0.169811,23,0.433962,33,0.622641,0.45283,4,ai_use_legal_regulatory_risk
17,Meta Platforms,META,0001326801,2024,69,14,0.202899,19,0.275362,0,0.0,12,0.173913,24,0.347826,30,0.434783,181,2.623188,69,1.0,197,2.855072,76,1.101449,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,14,0.202899,19,0.275362,0,0.0,12,0.173913,24,0.347826,38,0.550725,0.376812,4,ai_use_legal_regulatory_risk
17,Meta Platforms,META,0001326801,2025,109,17,0.155963,28,0.256881,3,0.027523,24,0.220183,37,0.33945,38,0.348624,215,1.972477,79,0.724771,244,2.238532,123,1.12844,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,17,0.155963,28,0.256881,3,0.027523,24,0.220183,37,0.33945,57,0.522936,0.302752,4,ai_use_legal_regulatory_risk
18,Elevance Health,ELV,0001156039,2023,2,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,3,1.5,4,2.0,0,0.0,6,3.0,5,2.5,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0.0,0,privacy_data_law_protection
18,Elevance Health,ELV,0001156039,2024,13,3,0.230769,0,0.0,2,0.153846,1,0.076923,7,0.538462,11,0.846154,55,4.230769,0,0.0,51,3.923077,14,1.076923,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.230769,0,0.0,2,0.153846,1,0.076923,7,0.538462,12,0.923077,0.846154,4,ai_use_legal_regulatory_risk
18,Elevance Health,ELV,0001156039,2025,15,2,0.133333,0,0.0,2,0.133333,2,0.133333,9,0.6,11,0.733333,65,4.333333,0,0.0,58,3.866667,21,1.4,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,2,0.133333,0,0.0,2,0.133333,2,0.133333,9,0.6,13,0.866666,0.733333,4,ai_use_legal_regulatory_risk
19,Centene,CNC,0001071739,2023,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,13,13.0,0,0.0,9,9.0,4,4.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1.0,2,cybersecurity_attacks_security_threats
19,Centene,CNC,0001071739,2024,15,4,0.266667,2,0.133333,3,0.2,0,0.0,6,0.4,11,0.733333,60,4.0,0,0.0,61,4.066667,9,0.6,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4,0.266667,2,0.133333,3,0.2,0,0.0,6,0.4,13,0.866667,0.866667,4,ai_use_legal_regulatory_risk
19,Centene,CNC,0001071739,2025,20,6,0.3,1,0.05,3,0.15,1,0.05,9,0.45,17,0.85,66,3.3,0,0.0,67,3.35,15,0.75,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,6,0.3,1,0.05,3,0.15,1,0.05,9,0.45,18,0.9,0.85,4,ai_use_legal_regulatory_risk
20,Bank of America,BAC,0000070858,2023,11,5,0.454545,2,0.181818,4,0.363636,0,0.0,0,0.0,10,0.909091,43,3.909091,1,0.090909,40,3.636364,25,2.272727,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,5,0.454545,2,0.181818,4,0.363636,0,0.0,0,0.0,9,0.818181,0.818182,0,privacy_data_law_protection
20,Bank of America,BAC,0000070858,2024,23,9,0.391304,7,0.304348,5,0.217391,0,0.0,2,0.086957,10,0.434783,97,4.217391,1,0.043478,61,2.652174,43,1.869565,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,9,0.391304,7,0.304348,5,0.217391,0,0.0,2,0.086957,16,0.695652,0.695652,0,privacy_data_law_protection
20,Bank of America,BAC,0000070858,2025,30,14,0.466667,4,0.133333,5,0.166667,0,0.0,7,0.233333,11,0.366667,109,3.633333,1,0.033333,75,2.5,57,1.9,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,14,0.466667,4,0.133333,5,0.166667,0,0.0,7,0.233333,26,0.866667,0.866667,0,privacy_data_law_protection
21,Chevron,CVX,0000093410,2023,2,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,3,1.5,1,0.5,0,0.0,3,1.5,1,0.5,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,-0.5,1,business_product_service_revenue
21,Chevron,CVX,0000093410,2024,5,0,0.0,1,0.2,0,0.0,1,0.2,3,0.6,5,1.0,0,0.0,0,0.0,6,1.2,3,0.6,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,1,0.2,0,0.0,1,0.2,3,0.6,3,0.6,0.4,4,ai_use_legal_regulatory_risk
21,Chevron,CVX,0000093410,2025,8,0,0.0,1,0.125,0,0.0,0,0.0,7,0.875,4,0.5,15,1.875,0,0.0,13,1.625,7,0.875,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,1,0.125,0,0.0,0,0.0,7,0.875,7,0.875,0.875,4,ai_use_legal_regulatory_risk
22,Ford Motor,F,0000037996,2023,14,5,0.357143,8,0.571429,0,0.0,1,0.071429,0,0.0,14,1.0,17,1.214286,0,0.0,36,2.571429,8,0.571429,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,5,0.357143,8,0.571429,0,0.0,1,0.071429,0,0.0,5,0.357143,0.285714,1,business_product_service_revenue
