fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share,k,k5_topic_0_label,k5_topic_1_label,k5_topic_2_label,k5_topic_3_label,k5_topic_4_label,AI_Privacy_Data_Law_Topic_Count,AI_Privacy_Data_Law_Topic_Share,AI_Business_Product_Topic_Count,AI_Business_Product_Topic_Share,AI_Cybersecurity_Risk_Topic_Count,AI_Cybersecurity_Risk_Topic_Share,AI_Infrastructure_Topic_Count,AI_Infrastructure_Topic_Share,AI_AIUse_LegalRisk_Topic_Count,AI_AIUse_LegalRisk_Topic_Share,AI_NegativeSensitive_Topic_Count,AI_NegativeSensitive_Topic_Share,AI_Negative_Orientation,AI_Dominant_Topic_ID,AI_Dominant_Topic_Label
1,Amazon,AMZN,0001018724,2023,12,5,0.416667,1,0.083333,0,0.0,4,0.333333,2,0.166667,10,0.833333,36,3.0,13,1.083333,54,4.5,16,1.333333,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,5,0.416667,1,0.083333,0,0.0,4,0.333333,2,0.166667,7,0.583334,0.25,0,privacy_data_law_protection
1,Amazon,AMZN,0001018724,2024,16,4,0.25,5,0.3125,0,0.0,5,0.3125,2,0.125,11,0.6875,38,2.375,13,0.8125,57,3.5625,17,1.0625,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4,0.25,5,0.3125,0,0.0,5,0.3125,2,0.125,6,0.375,0.0625,1,business_product_service_revenue
1,Amazon,AMZN,0001018724,2025,29,5,0.172414,15,0.517241,2,0.068966,5,0.172414,2,0.068966,17,0.586207,64,2.206897,16,0.551724,89,3.068966,45,1.551724,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,5,0.172414,15,0.517241,2,0.068966,5,0.172414,2,0.068966,9,0.310346,0.137931,1,business_product_service_revenue
2,Walmart,WMT,0000104169,2023,5,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,8,1.6,4,0.8,0,0.0,5,1.0,1,0.2,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,business_product_service_revenue
2,Walmart,WMT,0000104169,2024,7,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,10,1.428571,4,0.571429,0,0.0,6,0.857143,1,0.142857,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,business_product_service_revenue
2,Walmart,WMT,0000104169,2025,12,1,0.083333,7,0.583333,2,0.166667,0,0.0,2,0.166667,12,1.0,14,1.166667,0,0.0,20,1.666667,5,0.416667,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,0.083333,7,0.583333,2,0.166667,0,0.0,2,0.166667,5,0.416667,0.416667,1,business_product_service_revenue
3,UnitedHealth Group,UNH,0000731766,2023,11,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,7,0.636364,26,2.363636,1,0.090909,37,3.363636,17,1.545455,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,9,0.818181,0.636364,4,ai_use_legal_regulatory_risk
3,UnitedHealth Group,UNH,0000731766,2024,11,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,7,0.636364,29,2.636364,1,0.090909,38,3.454545,17,1.545455,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,9,0.818181,0.636364,4,ai_use_legal_regulatory_risk
3,UnitedHealth Group,UNH,0000731766,2025,15,3,0.2,0,0.0,1,0.066667,3,0.2,8,0.533333,10,0.666667,29,1.933333,1,0.066667,38,2.533333,17,1.133333,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.2,0,0.0,1,0.066667,3,0.2,8,0.533333,12,0.8,0.6,4,ai_use_legal_regulatory_risk
4,Apple,AAPL,0000320193,2023,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,3,3.0,1,1.0,5,5.0,0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1.0,0,privacy_data_law_protection
4,Apple,AAPL,0000320193,2024,3,2,0.666667,0,0.0,0,0.0,0,0.0,1,0.333333,2,0.666667,7,2.333333,2,0.666667,6,2.0,0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,2,0.666667,0,0.0,0,0.0,0,0.0,1,0.333333,3,1.0,1.0,0,privacy_data_law_protection
4,Apple,AAPL,0000320193,2025,6,3,0.5,0,0.0,0,0.0,0,0.0,3,0.5,2,0.333333,13,2.166667,3,0.5,15,2.5,0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,0.5,0,0.0,0,0.0,0,0.0,3,0.5,6,1.0,1.0,0,privacy_data_law_protection
5,Alphabet,GOOGL,0001652044,2023,82,5,0.060976,10,0.121951,1,0.012195,50,0.609756,16,0.195122,24,0.292683,115,1.402439,46,0.560976,120,1.463415,160,1.95122,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,5,0.060976,10,0.121951,1,0.012195,50,0.609756,16,0.195122,22,0.268293,-0.341463,3,ai_cloud_platform_infrastructure
5,Alphabet,GOOGL,0001652044,2024,93,7,0.075269,15,0.16129,2,0.021505,50,0.537634,19,0.204301,34,0.365591,129,1.387097,46,0.494624,169,1.817204,194,2.086022,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,7,0.075269,15,0.16129,2,0.021505,50,0.537634,19,0.204301,28,0.301075,-0.236559,3,ai_cloud_platform_infrastructure
5,Alphabet,GOOGL,0001652044,2025,84,10,0.119048,15,0.178571,3,0.035714,33,0.392857,23,0.27381,35,0.416667,127,1.511905,37,0.440476,140,1.666667,173,2.059524,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,10,0.119048,15,0.178571,3,0.035714,33,0.392857,23,0.27381,36,0.428572,0.035714,3,ai_cloud_platform_infrastructure
6,CVS Health,CVS,0000064803,2023,4,0,0.0,1,0.25,0,0.0,3,0.75,0,0.0,7,1.75,2,0.5,0,0.0,7,1.75,7,1.75,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,0.0,1,0.25,0,0.0,3,0.75,0,0.0,0,0.0,-0.75,3,ai_cloud_platform_infrastructure
6,CVS Health,CVS,0000064803,2024,7,2,0.285714,1,0.142857,1,0.142857,3,0.428571,0,0.0,7,1.0,11,1.571429,0,0.0,19,2.714286,7,1.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,2,0.285714,1,0.142857,1,0.142857,3,0.428571,0,0.0,3,0.428571,0.0,3,ai_cloud_platform_infrastructure
