fortune_rank_2025,company_name,ticker,cik,cik_padded,target_report_year,form_type,filing_date,report_date,accession_number,primary_document,filing_source,sec_filing_url,sec_document_url,local_html_path,local_text_path,recollection_status,failure_reason,total_words,ai_keyword_count,ai_keyword_per_10k_words
12,JPMorgan Chase,JPM,19617,0000019617,2023,10-K,2024-02-16,2023-12-31,0000019617-24-000225,jpm-20231231.htm,CIK0000019617-submissions-014.json,https://www.sec.gov/Archives/edgar/data/19617/000001961724000225/,https://www.sec.gov/Archives/edgar/data/19617/000001961724000225/jpm-20231231.htm,data/raw/sec_10k_html/major_missing/JPM/2023_JPM_10k.html,data/processed/sec_10k_text/major_missing/JPM/2023_JPM_10k.txt,success,,175620,6,0.341647
12,JPMorgan Chase,JPM,19617,0000019617,2024,10-K,2025-02-14,2024-12-31,0000019617-25-000270,jpm-20241231.htm,CIK0000019617-submissions-004.json,https://www.sec.gov/Archives/edgar/data/19617/000001961725000270/,https://www.sec.gov/Archives/edgar/data/19617/000001961725000270/jpm-20241231.htm,data/raw/sec_10k_html/major_missing/JPM/2024_JPM_10k.html,data/processed/sec_10k_text/major_missing/JPM/2024_JPM_10k.txt,success,,171279,20,1.167685
17,Meta Platforms,META,1326801,0001326801,2023,10-K,2024-02-02,2023-12-31,0001326801-24-000012,meta-20231231.htm,CIK0001326801-submissions-001.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm,data/raw/sec_10k_html/major_missing/META/2023_META_10k.html,data/processed/sec_10k_text/major_missing/META/2023_META_10k.txt,success,,72221,28,3.876989
20,Bank of America,BAC,70858,0000070858,2023,10-K,2024-02-20,2023-12-31,0000070858-24-000122,bac-20231231.htm,CIK0000070858-submissions-006.json,https://www.sec.gov/Archives/edgar/data/70858/000007085824000122/,https://www.sec.gov/Archives/edgar/data/70858/000007085824000122/bac-20231231.htm,data/raw/sec_10k_html/major_missing/BAC/2023_BAC_10k.html,data/processed/sec_10k_text/major_missing/BAC/2023_BAC_10k.txt,success,,128312,14,1.09109
20,Bank of America,BAC,70858,0000070858,2024,10-K,2025-02-25,2024-12-31,0000070858-25-000139,bac-20241231.htm,CIK0000070858-submissions-002.json,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/bac-20241231.htm,data/raw/sec_10k_html/major_missing/BAC/2024_BAC_10k.html,data/processed/sec_10k_text/major_missing/BAC/2024_BAC_10k.txt,success,,125904,25,1.98564
24,Citigroup,C,831001,0000831001,2023,10-K,2024-02-23,2023-12-31,0000831001-24-000033,c-20231231.htm,CIK0000831001-submissions-008.json,https://www.sec.gov/Archives/edgar/data/831001/000083100124000033/,https://www.sec.gov/Archives/edgar/data/831001/000083100124000033/c-20231231.htm,data/raw/sec_10k_html/major_missing/C/2023_C_10k.html,data/processed/sec_10k_text/major_missing/C/2023_C_10k.txt,success,,178610,4,0.223952
24,Citigroup,C,831001,0000831001,2024,10-K,2025-02-21,2024-12-31,0000831001-25-000067,c-20241231.htm,CIK0000831001-submissions-002.json,https://www.sec.gov/Archives/edgar/data/831001/000083100125000067/,https://www.sec.gov/Archives/edgar/data/831001/000083100125000067/c-20241231.htm,data/raw/sec_10k_html/major_missing/C/2024_C_10k.html,data/processed/sec_10k_text/major_missing/C/2024_C_10k.txt,success,,178785,10,0.559331
36,Goldman Sachs Group,GS,886982,0000886982,2023,10-K,2024-02-23,2023-12-31,0000886982-24-000006,gs-20231231.htm,CIK0000886982-submissions-007.json,https://www.sec.gov/Archives/edgar/data/886982/000088698224000006/,https://www.sec.gov/Archives/edgar/data/886982/000088698224000006/gs-20231231.htm,data/raw/sec_10k_html/major_missing/GS/2023_GS_10k.html,data/processed/sec_10k_text/major_missing/GS/2023_GS_10k.txt,success,,162710,7,0.430213
36,Goldman Sachs Group,GS,886982,0000886982,2024,10-K,2025-02-27,2024-12-31,0000886982-25-000005,gs-20241231.htm,CIK0000886982-submissions-002.json,https://www.sec.gov/Archives/edgar/data/886982/000088698225000005/,https://www.sec.gov/Archives/edgar/data/886982/000088698225000005/gs-20241231.htm,data/raw/sec_10k_html/major_missing/GS/2024_GS_10k.html,data/processed/sec_10k_text/major_missing/GS/2024_GS_10k.txt,success,,161723,11,0.680175
38,Wells Fargo,WFC,72971,0000072971,2023,10-K,2024-02-20,2023-12-31,0000072971-24-000064,wfc-20231231.htm,CIK0000072971-submissions-001.json,https://www.sec.gov/Archives/edgar/data/72971/000007297124000064/,https://www.sec.gov/Archives/edgar/data/72971/000007297124000064/wfc-20231231.htm,data/raw/sec_10k_html/major_missing/WFC/2023_WFC_10k.html,data/processed/sec_10k_text/major_missing/WFC/2023_WFC_10k.txt,success,,24139,0,0.0
39,Morgan Stanley,MS,895421,0000895421,2023,10-K,2024-02-22,2023-12-31,0000895421-24-000300,ms-20231231.htm,CIK0000895421-submissions-010.json,https://www.sec.gov/Archives/edgar/data/895421/000089542124000300/,https://www.sec.gov/Archives/edgar/data/895421/000089542124000300/ms-20231231.htm,data/raw/sec_10k_html/major_missing/MS/2023_MS_10k.html,data/processed/sec_10k_text/major_missing/MS/2023_MS_10k.txt,success,,110697,5,0.451683
39,Morgan Stanley,MS,895421,0000895421,2024,10-K,2025-02-21,2024-12-31,0000895421-25-000304,ms-20241231.htm,CIK0000895421-submissions-003.json,https://www.sec.gov/Archives/edgar/data/895421/000089542125000304/,https://www.sec.gov/Archives/edgar/data/895421/000089542125000304/ms-20241231.htm,data/raw/sec_10k_html/major_missing/MS/2024_MS_10k.html,data/processed/sec_10k_text/major_missing/MS/2024_MS_10k.txt,success,,110706,5,0.451647
76,Galaxy Digital,GLXY,1859392,0001859392,2023,10-K,,,,,,,,,,missing,no_10k_for_target_report_year_after_recent_and_files_lookup,0,0,0.0
76,Galaxy Digital,GLXY,1859392,0001859392,2024,10-K,,,,,,,,,,missing,no_10k_for_target_report_year_after_recent_and_files_lookup,0,0,0.0
90,Ingram Micro Holding,INGM,1897762,0001897762,2023,10-K,,,,,,,,,,missing,no_10k_for_target_report_year_after_recent_and_files_lookup,0,0,0.0
