fortune_rank_2025,company_name,ticker,cik,cik_padded,target_report_year,download_status,failure_reason,form_type,filing_date,report_date,accession_number,primary_document,sec_filing_url,sec_document_url,local_html_path,local_text_path,total_words,ai_keyword_count,ai_keyword_per_10k_words,sample_role,has_10k_text,audit_category,analysis_treatment,sec_sic_code,sec_sic_description,naics_code,naics_description,naics_sector_code,naics_sector_name,naics_source,industry_enrichment_status,industry_enrichment_reason,final_dataset_role,has_10k_text_final,has_ai_window_k5,is_primary_text_sample,is_k5_topic_sample,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,AI_Privacy_Data_Law_Topic_Count,AI_Privacy_Data_Law_Topic_Share,AI_Business_Product_Topic_Count,AI_Business_Product_Topic_Share,AI_Cybersecurity_Risk_Topic_Count,AI_Cybersecurity_Risk_Topic_Share,AI_Infrastructure_Topic_Count,AI_Infrastructure_Topic_Share,AI_AIUse_LegalRisk_Topic_Count,AI_AIUse_LegalRisk_Topic_Share,AI_NegativeSensitive_Topic_Count,AI_NegativeSensitive_Topic_Share,AI_Negative_Orientation,k,k5_topic_0_label,k5_topic_1_label,k5_topic_2_label,k5_topic_3_label,k5_topic_4_label,AI_Dominant_Topic_ID,AI_Dominant_Topic_Label
4,Apple,AAPL,320193,0000320193,2024,success,,10-K,2024-11-01,2024-09-28,0000320193-24-000123,aapl-20240928.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,data/raw/sec_10k_html/top100/chunk_01/AAPL/2024_AAPL_10k.html,data/processed/sec_10k_text/top100/chunk_01/AAPL/2024_AAPL_10k.txt,28597,5,1.748435,primary_text_sample,TRUE,,,3571,Electronic Computers,,,31-33,Manufacturing,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,3,2,0.666667,0,0.0,0,0.0,0,0.0,1,0.333333,2,0.666667,0,0.0,0,0.0,0,0.0,1,0.333333,3,1.0,1.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,privacy_data_law_protection
4,Apple,AAPL,320193,0000320193,2025,success,,10-K,2025-10-31,2025-09-27,0000320193-25-000079,aapl-20250927.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,data/raw/sec_10k_html/top100/chunk_01/AAPL/2025_AAPL_10k.html,data/processed/sec_10k_text/top100/chunk_01/AAPL/2025_AAPL_10k.txt,28894,10,3.460926,primary_text_sample,TRUE,,,3571,Electronic Computers,,,31-33,Manufacturing,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,6,3,0.5,0,0.0,0,0.0,0,0.0,3,0.5,3,0.5,0,0.0,0,0.0,0,0.0,3,0.5,6,1.0,1.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,privacy_data_law_protection
5,Alphabet,GOOGL,1652044,0001652044,2023,success,,10-K,2024-01-31,2023-12-31,0001652044-24-000022,goog-20231231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,data/raw/sec_10k_html/top100/chunk_01/GOOGL/2023_GOOGL_10k.html,data/processed/sec_10k_text/top100/chunk_01/GOOGL/2023_GOOGL_10k.txt,49233,15,3.046737,primary_text_sample,TRUE,,,7370,"Services-Computer Programming, Data Processing, Etc.",,,51,Information,sic_exact_sector_override,success,,master_frame,TRUE,TRUE,TRUE,TRUE,82,5,0.060976,10,0.121951,1,0.012195,50,0.609756,16,0.195122,5,0.060976,10,0.121951,1,0.012195,50,0.609756,16,0.195122,22,0.268293,-0.341463,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,ai_cloud_platform_infrastructure
5,Alphabet,GOOGL,1652044,0001652044,2024,success,,10-K,2025-02-05,2024-12-31,0001652044-25-000014,goog-20241231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,data/raw/sec_10k_html/top100/chunk_01/GOOGL/2024_GOOGL_10k.html,data/processed/sec_10k_text/top100/chunk_01/GOOGL/2024_GOOGL_10k.txt,50582,10,1.976988,primary_text_sample,TRUE,,,7370,"Services-Computer Programming, Data Processing, Etc.",,,51,Information,sic_exact_sector_override,success,,master_frame,TRUE,TRUE,TRUE,TRUE,93,7,0.075269,15,0.16129,2,0.021505,50,0.537634,19,0.204301,7,0.075269,15,0.16129,2,0.021505,50,0.537634,19,0.204301,28,0.301075,-0.236559,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,ai_cloud_platform_infrastructure
5,Alphabet,GOOGL,1652044,0001652044,2025,success,,10-K,2026-02-05,2025-12-31,0001652044-26-000018,goog-20251231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,data/raw/sec_10k_html/top100/chunk_01/GOOGL/2025_GOOGL_10k.html,data/processed/sec_10k_text/top100/chunk_01/GOOGL/2025_GOOGL_10k.txt,49493,9,1.818439,primary_text_sample,TRUE,,,7370,"Services-Computer Programming, Data Processing, Etc.",,,51,Information,sic_exact_sector_override,success,,master_frame,TRUE,TRUE,TRUE,TRUE,84,10,0.119048,15,0.178571,3,0.035714,33,0.392857,23,0.27381,10,0.119048,15,0.178571,3,0.035714,33,0.392857,23,0.27381,36,0.428572,0.035714,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,ai_cloud_platform_infrastructure
6,CVS Health,CVS,64803,0000064803,2023,success,,10-K,2024-02-07,2023-12-31,0000064803-24-000007,cvs-20231231.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480324000007/,https://www.sec.gov/Archives/edgar/data/64803/000006480324000007/cvs-20231231.htm,data/raw/sec_10k_html/top100/chunk_01/CVS/2023_CVS_10k.html,data/processed/sec_10k_text/top100/chunk_01/CVS/2023_CVS_10k.txt,124522,6,0.481843,primary_text_sample,TRUE,,,5912,Retail-Drug Stores and Proprietary Stores,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,4,0,0.0,1,0.25,0,0.0,3,0.75,0,0.0,0,0.0,1,0.25,0,0.0,3,0.75,0,0.0,0,0.0,-0.75,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,ai_cloud_platform_infrastructure
6,CVS Health,CVS,64803,0000064803,2024,success,,10-K,2025-02-12,2024-12-31,0000064803-25-000007,cvs-20241231.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480325000007/,https://www.sec.gov/Archives/edgar/data/64803/000006480325000007/cvs-20241231.htm,data/raw/sec_10k_html/top100/chunk_01/CVS/2024_CVS_10k.html,data/processed/sec_10k_text/top100/chunk_01/CVS/2024_CVS_10k.txt,120171,8,0.665718,primary_text_sample,TRUE,,,5912,Retail-Drug Stores and Proprietary Stores,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,7,2,0.285714,1,0.142857,1,0.142857,3,0.428571,0,0.0,2,0.285714,1,0.142857,1,0.142857,3,0.428571,0,0.0,3,0.428571,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,ai_cloud_platform_infrastructure
6,CVS Health,CVS,64803,0000064803,2025,success,,10-K,2026-02-10,2025-12-31,0000064803-26-000010,cvs-20251231.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480326000010/,https://www.sec.gov/Archives/edgar/data/64803/000006480326000010/cvs-20251231.htm,data/raw/sec_10k_html/top100/chunk_01/CVS/2025_CVS_10k.html,data/processed/sec_10k_text/top100/chunk_01/CVS/2025_CVS_10k.txt,109371,7,0.640023,primary_text_sample,TRUE,,,5912,Retail-Drug Stores and Proprietary Stores,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,13,2,0.153846,2,0.153846,2,0.153846,4,0.307692,3,0.230769,2,0.153846,2,0.153846,2,0.153846,4,0.307692,3,0.230769,7,0.538461,0.230769,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,3,ai_cloud_platform_infrastructure
7,Berkshire Hathaway,BRK-B,1067983,0001067983,2025,success,,10-K,2026-03-02,2025-12-31,0001193125-26-083899,brka-20251231.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312526083899/,https://www.sec.gov/Archives/edgar/data/1067983/000119312526083899/brka-20251231.htm,data/raw/sec_10k_html/top100/chunk_01/BRK-B/2025_BRK-B_10k.html,data/processed/sec_10k_text/top100/chunk_01/BRK-B/2025_BRK-B_10k.txt,69544,2,0.287588,primary_text_sample,TRUE,,,6331,"Fire, Marine & Casualty Insurance",,,52,Finance and Insurance,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,1.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,privacy_data_law_protection
8,McKesson,MCK,927653,0000927653,2023,success,,10-K,2023-05-09,2023-03-31,0000927653-23-000038,mck-20230331.htm,https://www.sec.gov/Archives/edgar/data/927653/000092765323000038/,https://www.sec.gov/Archives/edgar/data/927653/000092765323000038/mck-20230331.htm,data/raw/sec_10k_html/top100/chunk_01/MCK/2023_MCK_10k.html,data/processed/sec_10k_text/top100/chunk_01/MCK/2023_MCK_10k.txt,75453,3,0.397599,primary_text_sample,TRUE,,,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",,,42,Wholesale Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,3,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
8,McKesson,MCK,927653,0000927653,2024,success,,10-K,2024-05-08,2024-03-31,0000927653-24-000035,mck-20240331.htm,https://www.sec.gov/Archives/edgar/data/927653/000092765324000035/,https://www.sec.gov/Archives/edgar/data/927653/000092765324000035/mck-20240331.htm,data/raw/sec_10k_html/top100/chunk_01/MCK/2024_MCK_10k.html,data/processed/sec_10k_text/top100/chunk_01/MCK/2024_MCK_10k.txt,70217,7,0.99691,primary_text_sample,TRUE,,,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",,,42,Wholesale Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,13,2,0.153846,6,0.461538,1,0.076923,1,0.076923,3,0.230769,2,0.153846,6,0.461538,1,0.076923,1,0.076923,3,0.230769,6,0.461538,0.384615,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
8,McKesson,MCK,927653,0000927653,2025,success,,10-K,2025-05-09,2025-03-31,0000927653-25-000036,mck-20250331.htm,https://www.sec.gov/Archives/edgar/data/927653/000092765325000036/,https://www.sec.gov/Archives/edgar/data/927653/000092765325000036/mck-20250331.htm,data/raw/sec_10k_html/top100/chunk_01/MCK/2025_MCK_10k.html,data/processed/sec_10k_text/top100/chunk_01/MCK/2025_MCK_10k.txt,68521,9,1.313466,primary_text_sample,TRUE,,,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",,,42,Wholesale Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,24,5,0.208333,7,0.291667,2,0.083333,1,0.041667,9,0.375,5,0.208333,7,0.291667,2,0.083333,1,0.041667,9,0.375,16,0.666666,0.625,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4,ai_use_legal_regulatory_risk
9,Exxon Mobil,XOM,34088,0000034088,2025,success,,10-K,2026-02-18,2025-12-31,0000034088-26-000045,xom-20251231.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408826000045/,https://www.sec.gov/Archives/edgar/data/34088/000003408826000045/xom-20251231.htm,data/raw/sec_10k_html/top100/chunk_01/XOM/2025_XOM_10k.html,data/processed/sec_10k_text/top100/chunk_01/XOM/2025_XOM_10k.txt,56022,1,0.178501,primary_text_sample,TRUE,,,2911,Petroleum Refining,,,31-33,Manufacturing,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,3,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
10,Cencora,COR,1140859,0001140859,2023,success,,10-K,2023-11-21,2023-09-30,0001140859-23-000197,cor-20230930.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085923000197/,https://www.sec.gov/Archives/edgar/data/1140859/000114085923000197/cor-20230930.htm,data/raw/sec_10k_html/top100/chunk_01/COR/2023_COR_10k.html,data/processed/sec_10k_text/top100/chunk_01/COR/2023_COR_10k.txt,54775,3,0.547695,primary_text_sample,TRUE,,,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",,,42,Wholesale Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,3,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,1,0.333333,0.333333,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
10,Cencora,COR,1140859,0001140859,2024,success,,10-K,2024-11-26,2024-09-30,0001140859-24-000177,cor-20240930.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085924000177/,https://www.sec.gov/Archives/edgar/data/1140859/000114085924000177/cor-20240930.htm,data/raw/sec_10k_html/top100/chunk_01/COR/2024_COR_10k.html,data/processed/sec_10k_text/top100/chunk_01/COR/2024_COR_10k.txt,55318,3,0.542319,primary_text_sample,TRUE,,,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",,,42,Wholesale Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,3,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,1,0.333333,0.333333,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
10,Cencora,COR,1140859,0001140859,2025,success,,10-K,2025-11-25,2025-09-30,0001140859-25-000131,cor-20250930.htm,https://www.sec.gov/Archives/edgar/data/1140859/000114085925000131/,https://www.sec.gov/Archives/edgar/data/1140859/000114085925000131/cor-20250930.htm,data/raw/sec_10k_html/top100/chunk_01/COR/2025_COR_10k.html,data/processed/sec_10k_text/top100/chunk_01/COR/2025_COR_10k.txt,57397,7,1.219576,primary_text_sample,TRUE,,,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",,,42,Wholesale Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,17,3,0.176471,3,0.176471,5,0.294118,0,0.0,6,0.352941,3,0.176471,3,0.176471,5,0.294118,0,0.0,6,0.352941,14,0.82353,0.823529,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4,ai_use_legal_regulatory_risk
