fortune_rank_2025,company_name,ticker,cik,cik_padded,target_report_year,download_status,failure_reason,form_type,filing_date,report_date,accession_number,primary_document,sec_filing_url,sec_document_url,local_html_path,local_text_path,total_words,ai_keyword_count,ai_keyword_per_10k_words,sample_role,has_10k_text,audit_category,analysis_treatment,sec_sic_code,sec_sic_description,naics_code,naics_description,naics_sector_code,naics_sector_name,naics_source,industry_enrichment_status,industry_enrichment_reason,final_dataset_role,has_10k_text_final,has_ai_window_k5,is_primary_text_sample,is_k5_topic_sample,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,AI_Privacy_Data_Law_Topic_Count,AI_Privacy_Data_Law_Topic_Share,AI_Business_Product_Topic_Count,AI_Business_Product_Topic_Share,AI_Cybersecurity_Risk_Topic_Count,AI_Cybersecurity_Risk_Topic_Share,AI_Infrastructure_Topic_Count,AI_Infrastructure_Topic_Share,AI_AIUse_LegalRisk_Topic_Count,AI_AIUse_LegalRisk_Topic_Share,AI_NegativeSensitive_Topic_Count,AI_NegativeSensitive_Topic_Share,AI_Negative_Orientation,k,k5_topic_0_label,k5_topic_1_label,k5_topic_2_label,k5_topic_3_label,k5_topic_4_label,AI_Dominant_Topic_ID,AI_Dominant_Topic_Label
1,Amazon,AMZN,1018724,0001018724,2023,success,,10-K,2024-02-02,2023-12-31,0001018724-24-000008,amzn-20231231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,data/raw/sec_10k_html/top100/chunk_01/AMZN/2023_AMZN_10k.html,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,39933,15,3.756292,primary_text_sample,TRUE,,,5961,Retail-Catalog & Mail-Order Houses,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,12,5,0.416667,1,0.083333,0,0.0,4,0.333333,2,0.166667,5,0.416667,1,0.083333,0,0.0,4,0.333333,2,0.166667,7,0.583334,0.25,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,privacy_data_law_protection
1,Amazon,AMZN,1018724,0001018724,2024,success,,10-K,2025-02-07,2024-12-31,0001018724-25-000004,amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,data/raw/sec_10k_html/top100/chunk_01/AMZN/2024_AMZN_10k.html,data/processed/sec_10k_text/top100/chunk_01/AMZN/2024_AMZN_10k.txt,39502,22,5.569338,primary_text_sample,TRUE,,,5961,Retail-Catalog & Mail-Order Houses,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,16,4,0.25,5,0.3125,0,0.0,5,0.3125,2,0.125,4,0.25,5,0.3125,0,0.0,5,0.3125,2,0.125,6,0.375,0.0625,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
1,Amazon,AMZN,1018724,0001018724,2025,success,,10-K,2026-02-06,2025-12-31,0001018724-26-000004,amzn-20251231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,data/raw/sec_10k_html/top100/chunk_01/AMZN/2025_AMZN_10k.html,data/processed/sec_10k_text/top100/chunk_01/AMZN/2025_AMZN_10k.txt,39943,45,11.266054,primary_text_sample,TRUE,,,5961,Retail-Catalog & Mail-Order Houses,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,29,5,0.172414,15,0.517241,2,0.068966,5,0.172414,2,0.068966,5,0.172414,15,0.517241,2,0.068966,5,0.172414,2,0.068966,9,0.310346,0.137931,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
2,Walmart,WMT,104169,0000104169,2023,success,,10-K,2023-03-17,2023-01-31,0000104169-23-000020,wmt-20230131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm,data/raw/sec_10k_html/top100/chunk_01/WMT/2023_WMT_10k.html,data/processed/sec_10k_text/top100/chunk_01/WMT/2023_WMT_10k.txt,50892,5,0.982473,primary_text_sample,TRUE,,,5331,Retail-Variety Stores,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,5,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
2,Walmart,WMT,104169,0000104169,2024,success,,10-K,2024-03-15,2024-01-31,0000104169-24-000056,wmt-20240131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm,data/raw/sec_10k_html/top100/chunk_01/WMT/2024_WMT_10k.html,data/processed/sec_10k_text/top100/chunk_01/WMT/2024_WMT_10k.txt,53582,8,1.493039,primary_text_sample,TRUE,,,5331,Retail-Variety Stores,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,7,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
2,Walmart,WMT,104169,0000104169,2025,success,,10-K,2025-03-14,2025-01-31,0000104169-25-000021,wmt-20250131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416925000021/,https://www.sec.gov/Archives/edgar/data/104169/000010416925000021/wmt-20250131.htm,data/raw/sec_10k_html/top100/chunk_01/WMT/2025_WMT_10k.html,data/processed/sec_10k_text/top100/chunk_01/WMT/2025_WMT_10k.txt,52699,13,2.46684,primary_text_sample,TRUE,,,5331,Retail-Variety Stores,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,12,1,0.083333,7,0.583333,2,0.166667,0,0.0,2,0.166667,1,0.083333,7,0.583333,2,0.166667,0,0.0,2,0.166667,5,0.416667,0.416667,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1,business_product_service_revenue
3,UnitedHealth Group,UNH,731766,0000731766,2023,success,,10-K,2024-02-28,2023-12-31,0000731766-24-000081,unh-20231231.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176624000081/,https://www.sec.gov/Archives/edgar/data/731766/000073176624000081/unh-20231231.htm,data/raw/sec_10k_html/top100/chunk_01/UNH/2023_UNH_10k.html,data/processed/sec_10k_text/top100/chunk_01/UNH/2023_UNH_10k.txt,43202,6,1.388825,primary_text_sample,TRUE,,,6324,Hospital & Medical Service Plans,,,52,Finance and Insurance,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,11,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,9,0.818181,0.636364,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4,ai_use_legal_regulatory_risk
3,UnitedHealth Group,UNH,731766,0000731766,2024,success,,10-K,2025-02-27,2024-12-31,0000731766-25-000063,unh-20241231.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176625000063/,https://www.sec.gov/Archives/edgar/data/731766/000073176625000063/unh-20241231.htm,data/raw/sec_10k_html/top100/chunk_01/UNH/2024_UNH_10k.html,data/processed/sec_10k_text/top100/chunk_01/UNH/2024_UNH_10k.txt,43703,6,1.372903,primary_text_sample,TRUE,,,6324,Hospital & Medical Service Plans,,,52,Finance and Insurance,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,11,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,9,0.818181,0.636364,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4,ai_use_legal_regulatory_risk
3,UnitedHealth Group,UNH,731766,0000731766,2025,success,,10-K,2026-03-02,2025-12-31,0000731766-26-000062,unh-20251231.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/,https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm,data/raw/sec_10k_html/top100/chunk_01/UNH/2025_UNH_10k.html,data/processed/sec_10k_text/top100/chunk_01/UNH/2025_UNH_10k.txt,45833,5,1.090917,primary_text_sample,TRUE,,,6324,Hospital & Medical Service Plans,,,52,Finance and Insurance,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,15,3,0.2,0,0.0,1,0.066667,3,0.2,8,0.533333,3,0.2,0,0.0,1,0.066667,3,0.2,8,0.533333,12,0.8,0.6,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4,ai_use_legal_regulatory_risk
4,Apple,AAPL,320193,0000320193,2023,success,,10-K,2023-11-03,2023-09-30,0000320193-23-000106,aapl-20230930.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,data/raw/sec_10k_html/top100/chunk_01/AAPL/2023_AAPL_10k.html,data/processed/sec_10k_text/top100/chunk_01/AAPL/2023_AAPL_10k.txt,28121,2,0.711212,primary_text_sample,TRUE,,,3571,Electronic Computers,,,31-33,Manufacturing,sic_range_sector_crosswalk,success,,master_frame,TRUE,TRUE,TRUE,TRUE,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0,privacy_data_law_protection
