fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share,k
13,Costco Wholesale,COST,0000909832,2024,2,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,2,1.0,7,3.5,0,0.0,12,6.0,0,0.0,5
13,Costco Wholesale,COST,0000909832,2025,2,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,2,1.0,7,3.5,0,0.0,12,6.0,0,0.0,5
14,Cigna Group,CI,0001739940,2023,23,2,0.086957,1,0.043478,2,0.086957,5,0.217391,13,0.565217,10,0.434783,38,1.652174,0,0.0,31,1.347826,12,0.521739,5
14,Cigna Group,CI,0001739940,2024,27,3,0.111111,0,0.0,2,0.074074,3,0.111111,19,0.703704,14,0.518519,59,2.185185,2,0.074074,55,2.037037,33,1.222222,5
14,Cigna Group,CI,0001739940,2025,35,3,0.085714,1,0.028571,3,0.085714,3,0.085714,25,0.714286,18,0.514286,68,1.942857,8,0.228571,62,1.771429,43,1.228571,5
15,Cardinal Health,CAH,0000721371,2024,4,1,0.25,3,0.75,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,0,0.0,12,3.0,9,2.25,5
15,Cardinal Health,CAH,0000721371,2025,3,1,0.333333,1,0.333333,1,0.333333,0,0.0,0,0.0,1,0.333333,6,2.0,0,0.0,10,3.333333,4,1.333333,5
16,Nvidia,NVDA,0001045810,2023,86,8,0.093023,8,0.093023,0,0.0,61,0.709302,9,0.104651,25,0.290698,61,0.709302,17,0.197674,85,0.988372,186,2.162791,5
16,Nvidia,NVDA,0001045810,2024,111,15,0.135135,9,0.081081,3,0.027027,70,0.630631,14,0.126126,39,0.351351,78,0.702703,24,0.216216,111,1.0,204,1.837838,5
16,Nvidia,NVDA,0001045810,2025,134,24,0.179104,13,0.097015,2,0.014925,73,0.544776,22,0.164179,58,0.432836,103,0.768657,27,0.201493,127,0.947761,236,1.761194,5
17,Meta Platforms,META,0001326801,2023,53,10,0.188679,11,0.207547,0,0.0,9,0.169811,23,0.433962,26,0.490566,126,2.377358,46,0.867925,133,2.509434,49,0.924528,5
17,Meta Platforms,META,0001326801,2024,69,14,0.202899,19,0.275362,0,0.0,12,0.173913,24,0.347826,30,0.434783,181,2.623188,69,1.0,197,2.855072,76,1.101449,5
17,Meta Platforms,META,0001326801,2025,109,17,0.155963,28,0.256881,3,0.027523,24,0.220183,37,0.33945,38,0.348624,215,1.972477,79,0.724771,244,2.238532,123,1.12844,5
18,Elevance Health,ELV,0001156039,2023,2,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,3,1.5,4,2.0,0,0.0,6,3.0,5,2.5,5
18,Elevance Health,ELV,0001156039,2024,13,3,0.230769,0,0.0,2,0.153846,1,0.076923,7,0.538462,11,0.846154,55,4.230769,0,0.0,51,3.923077,14,1.076923,5
18,Elevance Health,ELV,0001156039,2025,15,2,0.133333,0,0.0,2,0.133333,2,0.133333,9,0.6,11,0.733333,65,4.333333,0,0.0,58,3.866667,21,1.4,5
19,Centene,CNC,0001071739,2023,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,13,13.0,0,0.0,9,9.0,4,4.0,5
19,Centene,CNC,0001071739,2024,15,4,0.266667,2,0.133333,3,0.2,0,0.0,6,0.4,11,0.733333,60,4.0,0,0.0,61,4.066667,9,0.6,5
19,Centene,CNC,0001071739,2025,20,6,0.3,1,0.05,3,0.15,1,0.05,9,0.45,17,0.85,66,3.3,0,0.0,67,3.35,15,0.75,5
20,Bank of America,BAC,0000070858,2023,11,5,0.454545,2,0.181818,4,0.363636,0,0.0,0,0.0,10,0.909091,43,3.909091,1,0.090909,40,3.636364,25,2.272727,5
20,Bank of America,BAC,0000070858,2024,23,9,0.391304,7,0.304348,5,0.217391,0,0.0,2,0.086957,10,0.434783,97,4.217391,1,0.043478,61,2.652174,43,1.869565,5
20,Bank of America,BAC,0000070858,2025,30,14,0.466667,4,0.133333,5,0.166667,0,0.0,7,0.233333,11,0.366667,109,3.633333,1,0.033333,75,2.5,57,1.9,5
21,Chevron,CVX,0000093410,2023,2,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,3,1.5,1,0.5,0,0.0,3,1.5,1,0.5,5
21,Chevron,CVX,0000093410,2024,5,0,0.0,1,0.2,0,0.0,1,0.2,3,0.6,5,1.0,0,0.0,0,0.0,6,1.2,3,0.6,5
21,Chevron,CVX,0000093410,2025,8,0,0.0,1,0.125,0,0.0,0,0.0,7,0.875,4,0.5,15,1.875,0,0.0,13,1.625,7,0.875,5
22,Ford Motor,F,0000037996,2023,14,5,0.357143,8,0.571429,0,0.0,1,0.071429,0,0.0,14,1.0,17,1.214286,0,0.0,36,2.571429,8,0.571429,5
22,Ford Motor,F,0000037996,2024,15,5,0.333333,9,0.6,0,0.0,0,0.0,1,0.066667,14,0.933333,24,1.6,0,0.0,62,4.133333,7,0.466667,5
22,Ford Motor,F,0000037996,2025,7,5,0.714286,1,0.142857,0,0.0,0,0.0,1,0.142857,10,1.428571,18,2.571429,0,0.0,43,6.142857,4,0.571429,5
23,General Motors,GM,0001467858,2024,3,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0,6,2.0,2,0.666667,5
23,General Motors,GM,0001467858,2025,11,4,0.363636,2,0.181818,2,0.181818,2,0.181818,1,0.090909,4,0.363636,26,2.363636,0,0.0,47,4.272727,7,0.636364,5
24,Citigroup,C,0000831001,2023,4,0,0.0,0,0.0,2,0.5,0,0.0,2,0.5,0,0.0,17,4.25,0,0.0,5,1.25,4,1.0,5
24,Citigroup,C,0000831001,2024,13,0,0.0,4,0.307692,3,0.230769,1,0.076923,5,0.384615,5,0.384615,42,3.230769,6,0.461538,12,0.923077,25,1.923077,5
24,Citigroup,C,0000831001,2025,24,2,0.083333,8,0.333333,5,0.208333,0,0.0,9,0.375,19,0.791667,77,3.208333,5,0.208333,33,1.375,39,1.625,5
25,Home Depot,HD,0000354950,2023,1,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,5
25,Home Depot,HD,0000354950,2024,4,1,0.25,3,0.75,0,0.0,0,0.0,0,0.0,4,1.0,7,1.75,0,0.0,14,3.5,13,3.25,5
25,Home Depot,HD,0000354950,2025,5,2,0.4,2,0.4,0,0.0,0,0.0,1,0.2,5,1.0,8,1.6,0,0.0,18,3.6,15,3.0,5
26,Fannie Mae,FNMA,0000310522,2023,15,1,0.066667,3,0.2,2,0.133333,1,0.066667,8,0.533333,5,0.333333,58,3.866667,0,0.0,33,2.2,33,2.2,5
26,Fannie Mae,FNMA,0000310522,2024,21,1,0.047619,5,0.238095,2,0.095238,1,0.047619,12,0.571429,12,0.571429,75,3.571429,0,0.0,44,2.095238,55,2.619048,5
26,Fannie Mae,FNMA,0000310522,2025,28,3,0.107143,2,0.071429,3,0.107143,4,0.142857,16,0.571429,16,0.571429,96,3.428571,0,0.0,54,1.928571,60,2.142857,5
27,Kroger,KR,0000056873,2024,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,0,0.0,5
27,Kroger,KR,0000056873,2025,6,0,0.0,1,0.166667,2,0.333333,0,0.0,3,0.5,11,1.833333,26,4.333333,0,0.0,23,3.833333,9,1.5,5
28,Verizon Communications,VZ,0000732712,2023,3,1,0.333333,1,0.333333,0,0.0,0,0.0,1,0.333333,0,0.0,5,1.666667,1,0.333333,7,2.333333,1,0.333333,5
28,Verizon Communications,VZ,0000732712,2024,10,2,0.2,2,0.2,1,0.1,0,0.0,5,0.5,10,1.0,14,1.4,1,0.1,9,0.9,7,0.7,5
28,Verizon Communications,VZ,0000732712,2025,18,2,0.111111,5,0.277778,1,0.055556,4,0.222222,6,0.333333,17,0.944444,24,1.333333,1,0.055556,21,1.166667,17,0.944444,5
29,Phillips 66,PSX,0001534701,2024,2,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,5,2.5,6,3.0,0,0.0,8,4.0,2,1.0,5
29,Phillips 66,PSX,0001534701,2025,2,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,5,2.5,6,3.0,0,0.0,8,4.0,2,1.0,5
30,Marathon Petroleum,MPC,0001510295,2023,2,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,2,1.0,3,1.5,0,0.0,5,2.5,5,2.5,5
30,Marathon Petroleum,MPC,0001510295,2024,5,0,0.0,0,0.0,1,0.2,0,0.0,4,0.8,2,0.4,12,2.4,2,0.4,9,1.8,5,1.0,5
30,Marathon Petroleum,MPC,0001510295,2025,5,0,0.0,0,0.0,1,0.2,0,0.0,4,0.8,2,0.4,12,2.4,2,0.4,9,1.8,6,1.2,5
33,Freddie Mac,FMCC,0001026214,2023,15,2,0.133333,2,0.133333,2,0.133333,0,0.0,9,0.6,3,0.2,62,4.133333,6,0.4,40,2.666667,11,0.733333,5
33,Freddie Mac,FMCC,0001026214,2024,18,3,0.166667,2,0.111111,2,0.111111,0,0.0,11,0.611111,6,0.333333,80,4.444444,5,0.277778,46,2.555556,17,0.944444,5
33,Freddie Mac,FMCC,0001026214,2025,19,2,0.105263,3,0.157895,2,0.105263,1,0.052632,11,0.578947,4,0.210526,65,3.421053,4,0.210526,48,2.526316,11,0.578947,5
34,Humana,HUM,0000049071,2024,3,0,0.0,0,0.0,1,0.333333,0,0.0,2,0.666667,4,1.333333,14,4.666667,0,0.0,19,6.333333,18,6.0,5
34,Humana,HUM,0000049071,2025,6,2,0.333333,0,0.0,1,0.166667,0,0.0,3,0.5,7,1.166667,15,2.5,0,0.0,25,4.166667,22,3.666667,5
35,AT&T,T,0000732717,2023,5,0,0.0,2,0.4,1,0.2,0,0.0,2,0.4,8,1.6,9,1.8,0,0.0,11,2.2,4,0.8,5
35,AT&T,T,0000732717,2024,7,0,0.0,2,0.285714,1,0.142857,2,0.285714,2,0.285714,9,1.285714,17,2.428571,7,1.0,11,1.571429,7,1.0,5
35,AT&T,T,0000732717,2025,14,1,0.071429,4,0.285714,1,0.071429,4,0.285714,4,0.285714,16,1.142857,26,1.857143,11,0.785714,24,1.714286,11,0.785714,5
36,Goldman Sachs Group,GS,0000886982,2023,19,3,0.157895,1,0.052632,6,0.315789,0,0.0,9,0.473684,6,0.315789,53,2.789474,1,0.052632,22,1.157895,33,1.736842,5
36,Goldman Sachs Group,GS,0000886982,2024,32,9,0.28125,5,0.15625,5,0.15625,0,0.0,13,0.40625,24,0.75,87,2.71875,1,0.03125,45,1.40625,43,1.34375,5
36,Goldman Sachs Group,GS,0000886982,2025,38,7,0.184211,9,0.236842,4,0.105263,0,0.0,18,0.473684,28,0.736842,85,2.236842,1,0.026316,37,0.973684,40,1.052632,5
37,Comcast,CMCSA,0001166691,2023,5,0,0.0,2,0.4,1,0.2,1,0.2,1,0.2,4,0.8,8,1.6,8,1.6,3,0.6,2,0.4,5
37,Comcast,CMCSA,0001166691,2024,8,1,0.125,3,0.375,1,0.125,1,0.125,2,0.25,4,0.5,9,1.125,8,1.0,3,0.375,2,0.25,5
37,Comcast,CMCSA,0001166691,2025,10,3,0.3,3,0.3,1,0.1,1,0.1,2,0.2,5,0.5,17,1.7,17,1.7,4,0.4,2,0.2,5
38,Wells Fargo,WFC,0000072971,2025,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5
39,Morgan Stanley,MS,0000895421,2023,5,0,0.0,2,0.4,3,0.6,0,0.0,0,0.0,0,0.0,11,2.2,0,0.0,12,2.4,11,2.2,5
39,Morgan Stanley,MS,0000895421,2024,5,1,0.2,2,0.4,2,0.4,0,0.0,0,0.0,1,0.2,10,2.0,0,0.0,14,2.8,11,2.2,5
39,Morgan Stanley,MS,0000895421,2025,11,3,0.272727,4,0.363636,4,0.363636,0,0.0,0,0.0,5,0.454545,33,3.0,0,0.0,35,3.181818,20,1.818182,5
40,Valero Energy,VLO,0001035002,2023,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,2,2.0,1,1.0,3,3.0,5
40,Valero Energy,VLO,0001035002,2024,3,0,0.0,1,0.333333,2,0.666667,0,0.0,0,0.0,2,0.666667,5,1.666667,1,0.333333,7,2.333333,6,2.0,5
40,Valero Energy,VLO,0001035002,2025,6,1,0.166667,1,0.166667,4,0.666667,0,0.0,0,0.0,4,0.666667,14,2.333333,0,0.0,16,2.666667,13,2.166667,5
41,Dell Technologies,DELL,0001571996,2023,11,0,0.0,2,0.181818,0,0.0,8,0.727273,1,0.090909,7,0.636364,6,0.545455,1,0.090909,16,1.454545,12,1.090909,5
41,Dell Technologies,DELL,0001571996,2024,26,0,0.0,9,0.346154,0,0.0,12,0.461538,5,0.192308,13,0.5,35,1.346154,1,0.038462,17,0.653846,22,0.846154,5
41,Dell Technologies,DELL,0001571996,2025,59,1,0.016949,34,0.576271,2,0.033898,12,0.20339,10,0.169492,50,0.847458,74,1.254237,3,0.050847,54,0.915254,44,0.745763,5
42,Target,TGT,0000027419,2023,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,5,5.0,0,0.0,0,0.0,0,0.0,2,2.0,5
42,Target,TGT,0000027419,2024,4,1,0.25,2,0.5,1,0.25,0,0.0,0,0.0,3,0.75,11,2.75,2,0.5,10,2.5,1,0.25,5
42,Target,TGT,0000027419,2025,9,1,0.111111,3,0.333333,1,0.111111,0,0.0,4,0.444444,3,0.333333,12,1.333333,3,0.333333,7,0.777778,3,0.333333,5
43,Tesla,TSLA,0001318605,2023,12,0,0.0,10,0.833333,0,0.0,2,0.166667,0,0.0,12,1.0,1,0.083333,2,0.166667,3,0.25,8,0.666667,5
43,Tesla,TSLA,0001318605,2024,23,2,0.086957,17,0.73913,1,0.043478,3,0.130435,0,0.0,20,0.869565,12,0.521739,2,0.086957,20,0.869565,18,0.782609,5
43,Tesla,TSLA,0001318605,2025,48,1,0.020833,27,0.5625,1,0.020833,19,0.395833,0,0.0,37,0.770833,16,0.333333,16,0.333333,27,0.5625,58,1.208333,5
44,Walt Disney,DIS,0001744489,2023,3,0,0.0,1,0.333333,0,0.0,0,0.0,2,0.666667,1,0.333333,10,3.333333,2,0.666667,1,0.333333,2,0.666667,5
44,Walt Disney,DIS,0001744489,2024,7,1,0.142857,2,0.285714,1,0.142857,0,0.0,3,0.428571,3,0.428571,20,2.857143,11,1.571429,5,0.714286,4,0.571429,5
44,Walt Disney,DIS,0001744489,2025,7,1,0.142857,2,0.285714,1,0.142857,0,0.0,3,0.428571,4,0.571429,18,2.571429,5,0.714286,6,0.857143,4,0.571429,5
45,Johnson & Johnson,JNJ,0000200406,2023,7,1,0.142857,1,0.142857,1,0.142857,0,0.0,4,0.571429,4,0.571429,18,2.571429,0,0.0,19,2.714286,0,0.0,5
45,Johnson & Johnson,JNJ,0000200406,2024,6,1,0.166667,0,0.0,1,0.166667,0,0.0,4,0.666667,3,0.5,18,3.0,0,0.0,19,3.166667,0,0.0,5
45,Johnson & Johnson,JNJ,0000200406,2025,6,1,0.166667,0,0.0,1,0.166667,0,0.0,4,0.666667,3,0.5,18,3.0,0,0.0,19,3.166667,0,0.0,5
46,PepsiCo,PEP,0000077476,2023,8,1,0.125,5,0.625,2,0.25,0,0.0,0,0.0,11,1.375,10,1.25,1,0.125,11,1.375,8,1.0,5
46,PepsiCo,PEP,0000077476,2024,13,2,0.153846,8,0.615385,2,0.153846,0,0.0,1,0.076923,17,1.307692,14,1.076923,2,0.153846,13,1.0,10,0.769231,5
46,PepsiCo,PEP,0000077476,2025,17,4,0.235294,8,0.470588,2,0.117647,2,0.117647,1,0.058824,14,0.823529,23,1.352941,2,0.117647,31,1.823529,16,0.941176,5
47,Boeing,BA,0000012927,2023,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,3,3.0,0,0.0,2,2.0,1,1.0,5
47,Boeing,BA,0000012927,2024,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,3,3.0,0,0.0,2,2.0,1,1.0,5
47,Boeing,BA,0000012927,2025,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,3,3.0,0,0.0,2,2.0,1,1.0,5
48,UPS,UPS,0001090727,2023,4,0,0.0,3,0.75,1,0.25,0,0.0,0,0.0,4,1.0,3,0.75,0,0.0,4,1.0,0,0.0,5
48,UPS,UPS,0001090727,2024,5,0,0.0,4,0.8,1,0.2,0,0.0,0,0.0,7,1.4,3,0.6,0,0.0,4,0.8,0,0.0,5
48,UPS,UPS,0001090727,2025,12,0,0.0,3,0.25,6,0.5,3,0.25,0,0.0,19,1.583333,12,1.0,0,0.0,34,2.833333,3,0.25,5
49,RTX,RTX,0000101829,2023,4,0,0.0,3,0.75,1,0.25,0,0.0,0,0.0,3,0.75,5,1.25,0,0.0,3,0.75,3,0.75,5
49,RTX,RTX,0000101829,2024,10,2,0.2,4,0.4,1,0.1,0,0.0,3,0.3,14,1.4,18,1.8,0,0.0,10,1.0,15,1.5,5
49,RTX,RTX,0000101829,2025,9,2,0.222222,3,0.333333,1,0.111111,0,0.0,3,0.333333,5,0.555556,13,1.444444,0,0.0,10,1.111111,9,1.0,5
50,FedEx,FDX,0001048911,2023,8,3,0.375,2,0.25,0,0.0,3,0.375,0,0.0,7,0.875,10,1.25,0,0.0,16,2.0,10,1.25,5
50,FedEx,FDX,0001048911,2024,19,7,0.368421,4,0.210526,3,0.157895,5,0.263158,0,0.0,15,0.789474,29,1.526316,0,0.0,47,2.473684,22,1.157895,5
50,FedEx,FDX,0001048911,2025,19,7,0.368421,5,0.263158,3,0.157895,4,0.210526,0,0.0,17,0.894737,28,1.473684,0,0.0,48,2.526316,21,1.105263,5
51,Progressive,PGR,0000080661,2023,17,6,0.352941,1,0.058824,0,0.0,0,0.0,10,0.588235,1,0.058824,4,0.235294,0,0.0,7,0.411765,16,0.941176,5
51,Progressive,PGR,0000080661,2024,17,2,0.117647,0,0.0,0,0.0,0,0.0,15,0.882353,2,0.117647,5,0.294118,0,0.0,4,0.235294,13,0.764706,5
51,Progressive,PGR,0000080661,2025,18,2,0.111111,0,0.0,1,0.055556,0,0.0,15,0.833333,6,0.333333,11,0.611111,0,0.0,10,0.555556,17,0.944444,5
52,Lowe's,LOW,0000060667,2024,3,0,0.0,2,0.666667,1,0.333333,0,0.0,0,0.0,0,0.0,6,2.0,0,0.0,7,2.333333,2,0.666667,5
52,Lowe's,LOW,0000060667,2025,13,0,0.0,2,0.153846,3,0.230769,3,0.230769,5,0.384615,5,0.384615,41,3.153846,0,0.0,29,2.230769,10,0.769231,5
53,Energy Transfer,ET,0001276187,2023,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,2,2.0,4,4.0,1,1.0,5
53,Energy Transfer,ET,0001276187,2024,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,5,5.0,2,2.0,7,7.0,2,2.0,5
53,Energy Transfer,ET,0001276187,2025,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,5,5.0,2,2.0,7,7.0,2,2.0,5
54,Procter & Gamble,PG,0000080424,2024,5,4,0.8,0,0.0,1,0.2,0,0.0,0,0.0,9,1.8,27,5.4,2,0.4,21,4.2,12,2.4,5
54,Procter & Gamble,PG,0000080424,2025,6,4,0.666667,1,0.166667,1,0.166667,0,0.0,0,0.0,9,1.5,26,4.333333,2,0.333333,22,3.666667,13,2.166667,5
55,Sysco,SYY,0000096021,2023,2,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,2,1.0,3,1.5,5
55,Sysco,SYY,0000096021,2024,11,1,0.090909,3,0.272727,2,0.181818,1,0.090909,4,0.363636,6,0.545455,22,2.0,2,0.181818,20,1.818182,10,0.909091,5
55,Sysco,SYY,0000096021,2025,11,1,0.090909,3,0.272727,2,0.181818,1,0.090909,4,0.363636,6,0.545455,22,2.0,2,0.181818,20,1.818182,10,0.909091,5
56,American Express,AXP,0000004962,2023,16,5,0.3125,5,0.3125,2,0.125,0,0.0,4,0.25,27,1.6875,73,4.5625,0,0.0,115,7.1875,41,2.5625,5
56,American Express,AXP,0000004962,2024,28,12,0.428571,6,0.214286,3,0.107143,0,0.0,7,0.25,34,1.214286,141,5.035714,0,0.0,229,8.178571,68,2.428571,5
56,American Express,AXP,0000004962,2025,37,9,0.243243,9,0.243243,5,0.135135,1,0.027027,13,0.351351,39,1.054054,127,3.432432,2,0.054054,187,5.054054,68,1.837838,5
57,Albertsons,ACI,0001646972,2024,9,1,0.111111,1,0.111111,0,0.0,0,0.0,7,0.777778,1,0.111111,26,2.888889,3,0.333333,10,1.111111,7,0.777778,5
57,Albertsons,ACI,0001646972,2025,11,0,0.0,1,0.090909,4,0.363636,0,0.0,6,0.545455,7,0.636364,22,2.0,3,0.272727,9,0.818182,7,0.636364,5
58,Archer Daniels Midland,ADM,0000007084,2023,5,0,0.0,1,0.2,2,0.4,0,0.0,2,0.4,6,1.2,23,4.6,0,0.0,24,4.8,4,0.8,5
