fortune_rank_2025,company_name,ticker,cik,cik_padded,sec_title,notes
74,TD Synnex,SNX,1177394,0001177394,TD SYNNEX CORP,matched_manual
75,ConocoPhillips,COP,1163165,0001163165,CONOCOPHILLIPS,matched_manual
76,Galaxy Digital,GLXY,1859392,0001859392,Galaxy Digital Inc.,manual_review_may_not_have_10k
77,AbbVie,ABBV,1551152,0001551152,AbbVie Inc.,matched_manual
78,Prudential Financial,PRU,1137774,0001137774,PRUDENTIAL FINANCIAL INC,matched_manual
79,TJX,TJX,109198,0000109198,TJX COMPANIES INC /DE/,matched_manual
80,Performance Food Group,PFGC,1618673,0001618673,Performance Food Group Co,matched_manual
81,United Airlines Holdings,UAL,100517,0000100517,"UNITED AIRLINES HOLDINGS, INC.",matched_manual
82,Oracle,ORCL,1341439,0001341439,ORACLE CORP,matched_manual
83,Cisco Systems,CSCO,858877,0000858877,"CISCO SYSTEMS, INC.",matched_manual
84,HP,HPQ,47217,0000047217,HP INC,matched_manual
85,Charter Communications,CHTR,1091667,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",matched_manual
86,American Airlines Group,AAL,6201,0000006201,AMERICAN AIRLINES GROUP INC.,matched_manual
87,Tyson Foods,TSN,100493,0000100493,"TYSON FOODS, INC.",matched_manual
88,Intel,INTC,50863,0000050863,INTEL CORP,matched_manual
89,Enterprise Products Partners,EPD,1061219,0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,matched_manual
90,Ingram Micro Holding,INGM,1897762,0001897762,Ingram Micro Holding Corp.,manual_review_recent_public
91,General Dynamics,GD,40533,0000040533,GENERAL DYNAMICS CORP,matched_manual
92,Uber Technologies,UBER,1543151,0001543151,"Uber Technologies, Inc",matched_manual
93,USAA,,,,,private_or_no_public_10k_expected
94,TIAA,,,,,private_or_no_public_10k_expected
95,Liberty Mutual Insurance Group,,,,,private_or_no_public_10k_expected
96,Travelers,TRV,86312,0000086312,"TRAVELERS COMPANIES, INC.",matched_manual
97,Bristol-Myers Squibb,BMY,14272,0000014272,BRISTOL MYERS SQUIBB CO,matched_manual
98,Coca-Cola,KO,21344,0000021344,COCA COLA CO,matched_manual
99,Nike,NKE,320187,0000320187,"NIKE, Inc.",matched_manual
100,Massachusetts Mutual Life,,,,,private_or_no_public_10k_expected
