fortune_rank_2025,company_name,ticker,cik,cik_padded,sec_title,notes
1,Amazon,AMZN,1018724,0001018724,AMAZON COM INC,matched_manual
2,Walmart,WMT,104169,0000104169,Walmart Inc.,matched_manual
3,UnitedHealth Group,UNH,731766,0000731766,UNITEDHEALTH GROUP INC,matched_manual
4,Apple,AAPL,320193,0000320193,Apple Inc.,matched_manual
5,Alphabet,GOOGL,1652044,0001652044,Alphabet Inc.,matched_manual
6,CVS Health,CVS,64803,0000064803,CVS HEALTH Corp,matched_manual
7,Berkshire Hathaway,BRK-B,1067983,0001067983,BERKSHIRE HATHAWAY INC,matched_manual
8,McKesson,MCK,927653,0000927653,MCKESSON CORP,matched_manual
9,Exxon Mobil,XOM,34088,0000034088,EXXON MOBIL CORP,matched_manual
10,Cencora,COR,1140859,0001140859,"Cencora, Inc.",matched_manual
11,Microsoft,MSFT,789019,0000789019,MICROSOFT CORP,matched_manual
12,JPMorgan Chase,JPM,19617,0000019617,JPMORGAN CHASE & CO,matched_manual
13,Costco Wholesale,COST,909832,0000909832,COSTCO WHOLESALE CORP /NEW,matched_manual
14,Cigna Group,CI,1739940,0001739940,Cigna Group,matched_manual
15,Cardinal Health,CAH,721371,0000721371,CARDINAL HEALTH INC,matched_manual
16,Nvidia,NVDA,1045810,0001045810,NVIDIA CORP,matched_manual
17,Meta Platforms,META,1326801,0001326801,"Meta Platforms, Inc.",matched_manual
18,Elevance Health,ELV,1156039,0001156039,"Elevance Health, Inc.",matched_manual
19,Centene,CNC,1071739,0001071739,CENTENE CORP,matched_manual
20,Bank of America,BAC,70858,0000070858,BANK OF AMERICA CORP /DE/,matched_manual
21,Chevron,CVX,93410,0000093410,CHEVRON CORP,matched_manual
22,Ford Motor,F,37996,0000037996,FORD MOTOR CO,matched_manual
23,General Motors,GM,1467858,0001467858,GENERAL MOTORS CO,matched_manual
24,Citigroup,C,831001,0000831001,CITIGROUP INC,matched_manual
25,Home Depot,HD,354950,0000354950,"HOME DEPOT, INC.",matched_manual
26,Fannie Mae,FNMA,310522,0000310522,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,matched_manual_otc
27,Kroger,KR,56873,0000056873,KROGER CO,matched_manual
28,Verizon Communications,VZ,732712,0000732712,VERIZON COMMUNICATIONS INC,matched_manual
29,Phillips 66,PSX,1534701,0001534701,Phillips 66,matched_manual
30,Marathon Petroleum,MPC,1510295,0001510295,Marathon Petroleum Corp,matched_manual
31,StoneX Group,SNEX,913760,0000913760,STONEX GROUP INC.,matched_manual
32,State Farm Insurance,,,,,private_or_no_public_10k_expected
33,Freddie Mac,FMCC,1026214,0001026214,FEDERAL HOME LOAN MORTGAGE CORP,matched_manual_otc
34,Humana,HUM,49071,0000049071,HUMANA INC,matched_manual
35,AT&T,T,732717,0000732717,AT&T INC.,matched_manual
36,Goldman Sachs Group,GS,886982,0000886982,GOLDMAN SACHS GROUP INC,matched_manual
37,Comcast,CMCSA,1166691,0001166691,COMCAST CORP,matched_manual
38,Wells Fargo,WFC,72971,0000072971,WELLS FARGO & COMPANY/MN,matched_manual
39,Morgan Stanley,MS,895421,0000895421,MORGAN STANLEY,matched_manual
40,Valero Energy,VLO,1035002,0001035002,VALERO ENERGY CORP/TX,matched_manual
41,Dell Technologies,DELL,1571996,0001571996,Dell Technologies Inc.,matched_manual
42,Target,TGT,27419,0000027419,TARGET CORP,matched_manual
43,Tesla,TSLA,1318605,0001318605,"Tesla, Inc.",matched_manual
44,Walt Disney,DIS,1744489,0001744489,Walt Disney Co,matched_manual
45,Johnson & Johnson,JNJ,200406,0000200406,JOHNSON & JOHNSON,matched_manual
46,PepsiCo,PEP,77476,0000077476,PEPSICO INC,matched_manual
47,Boeing,BA,12927,0000012927,BOEING CO,matched_manual
48,UPS,UPS,1090727,0001090727,UNITED PARCEL SERVICE INC,matched_manual
49,RTX,RTX,101829,0000101829,RTX Corp,matched_manual
50,FedEx,FDX,1048911,0001048911,FEDEX CORP,matched_manual
51,Progressive,PGR,80661,0000080661,PROGRESSIVE CORP/OH/,matched_manual
52,Lowe's,LOW,60667,0000060667,LOWES COMPANIES INC,matched_manual
53,Energy Transfer,ET,1276187,0001276187,ENERGY TRANSFER LP,matched_manual
54,Procter & Gamble,PG,80424,0000080424,PROCTER & GAMBLE Co,matched_manual
55,Sysco,SYY,96021,0000096021,SYSCO CORP,matched_manual
56,American Express,AXP,4962,0000004962,AMERICAN EXPRESS CO,matched_manual
57,Albertsons,ACI,1646972,0001646972,"Albertsons Companies, Inc.",matched_manual
58,Archer Daniels Midland,ADM,7084,0000007084,Archer-Daniels-Midland Co,matched_manual
59,MetLife,MET,1099219,0001099219,METLIFE INC,matched_manual
60,HCA Healthcare,HCA,860730,0000860730,"HCA Healthcare, Inc.",matched_manual
61,Lockheed Martin,LMT,936468,0000936468,LOCKHEED MARTIN CORP,matched_manual
62,New York Life Insurance,,,,,private_or_no_public_10k_expected
63,Capital One Financial,COF,927628,0000927628,CAPITAL ONE FINANCIAL CORP,matched_manual
64,Allstate,ALL,899051,0000899051,ALLSTATE CORP,matched_manual
65,Caterpillar,CAT,18230,0000018230,CATERPILLAR INC,matched_manual
66,IBM,IBM,51143,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,matched_manual
67,Eli Lilly,LLY,59478,0000059478,ELI LILLY & Co,matched_manual
68,Merck,MRK,310158,0000310158,"Merck & Co., Inc.",matched_manual
69,Nationwide,,,,,private_or_no_public_10k_expected
70,Broadcom,AVGO,1730168,0001730168,Broadcom Inc.,matched_manual
71,Delta Air Lines,DAL,27904,0000027904,"DELTA AIR LINES, INC.",matched_manual
72,Publix Super Markets,,,,,private_or_no_public_10k_expected
73,Pfizer,PFE,78003,0000078003,PFIZER INC,matched_manual
