fortune_rank_2025,company_name,ticker,cik,cik_padded,target_report_year,original_status,original_failure_reason,notes
12,JPMorgan Chase,JPM,19617,0000019617,2023,missing,no_10k_for_target_report_year,major_missing_recollection_target
12,JPMorgan Chase,JPM,19617,0000019617,2024,missing,no_10k_for_target_report_year,major_missing_recollection_target
17,Meta Platforms,META,1326801,0001326801,2023,missing,no_10k_for_target_report_year,major_missing_recollection_target
20,Bank of America,BAC,70858,0000070858,2023,missing,no_10k_for_target_report_year,major_missing_recollection_target
20,Bank of America,BAC,70858,0000070858,2024,missing,no_10k_for_target_report_year,major_missing_recollection_target
24,Citigroup,C,831001,0000831001,2023,missing,no_10k_for_target_report_year,major_missing_recollection_target
24,Citigroup,C,831001,0000831001,2024,missing,no_10k_for_target_report_year,major_missing_recollection_target
36,Goldman Sachs Group,GS,886982,0000886982,2023,missing,no_10k_for_target_report_year,major_missing_recollection_target
36,Goldman Sachs Group,GS,886982,0000886982,2024,missing,no_10k_for_target_report_year,major_missing_recollection_target
38,Wells Fargo,WFC,72971,0000072971,2023,missing,no_10k_for_target_report_year,major_missing_recollection_target
39,Morgan Stanley,MS,895421,0000895421,2023,missing,no_10k_for_target_report_year,major_missing_recollection_target
39,Morgan Stanley,MS,895421,0000895421,2024,missing,no_10k_for_target_report_year,major_missing_recollection_target
76,Galaxy Digital,GLXY,1859392,0001859392,2023,missing,no_10k_for_target_report_year,major_missing_recollection_target
76,Galaxy Digital,GLXY,1859392,0001859392,2024,missing,no_10k_for_target_report_year,major_missing_recollection_target
90,Ingram Micro Holding,INGM,1897762,0001897762,2023,missing,no_10k_for_target_report_year,major_missing_recollection_target
