metric,value,note
topic_solution,K=5,Main topic solution selected for interpretability
firm_year_rows,246,Firm-years with at least one AI mention window
topic_labels,T0=privacy_data_law_protection; T1=business_product_service_revenue; T2=cybersecurity_attacks_security_threats; T3=ai_cloud_platform_infrastructure; T4=ai_use_legal_regulatory_risk,K=5 manual interpretation based on topic_terms.csv
main_iv,AI_NegativeSensitive_Topic_Share,T0 + T2 + T4 share
negative_sensitive_components,T0 privacy/data/law + T2 cybersecurity/security threat + T4 AI use/legal/risk,Used to predict negative public communication
mean_AI_NegativeSensitive_Topic_Share,0.586605,Average across firm-years with AI windows
mean_AI_Infrastructure_Topic_Share,0.139867,Average across firm-years with AI windows
mean_AI_Negative_Orientation,0.446738,Mean of (negative-sensitive count - infrastructure count) / AI window count
dominant_topic_counts,ai_cloud_platform_infrastructure=35; ai_use_legal_regulatory_risk=93; business_product_service_revenue=70; cybersecurity_attacks_security_threats=21; privacy_data_law_protection=27,Dominant K=5 topic by firm-year
