k,effective_topics,n_windows,firm_years_with_ai_windows,model_used,min_topic_size,max_topic_size,min_topic_share,max_topic_share,topic_size_distribution,topic_terms_preview,assignments_path,topic_terms_path,firm_year_distribution_path
4,4,4254,246,sentence_bert_kmeans:sentence-transformers/all-MiniLM-L6-v2,729,1249,0.171368,0.293606,0:729; 1:1240; 2:1249; 3:1036,T0:data; cybersecurity; information; security; including; privacy; laws; systems; attacks; risks; use; cyber; business; risk; regulations | T1:ai; cloud; solutions; services; software; customers; products; data; platform; infrastructure; computing; intel; applications; nvidia; edge | T2:ai; use; technologies; risks; use ai; business; legal; regulatory; laws; artificial intelligence; artificial; intelligence; including; products; regulations | T3:products; including; business; changes; services; financial; new; ai; ability; capital; impact; operations; revenue; future; results,data/processed/10k_ai_topic_model_comparison/k_04/ai_topic_assignments.csv,data/processed/10k_ai_topic_model_comparison/k_04/topic_terms.csv,data/processed/10k_ai_topic_model_comparison/k_04/firm_year_topic_distribution.csv
5,5,4254,246,sentence_bert_kmeans:sentence-transformers/all-MiniLM-L6-v2,408,1234,0.09591,0.29008,0:526; 1:967; 2:408; 3:1119; 4:1234,T0:data; laws; regulations; including; privacy; business; protection; laws regulations; information; regulatory; subject; products; changes; requirements; related | T1:products; including; business; services; ai; new; revenue; changes; capital; technology; market; operations; financial; growth; continue | T2:cybersecurity; attacks; security; cyber; information; systems; risk; threats; threat; risks; including; actors; incidents; ai; data | T3:ai; cloud; software; solutions; services; customers; platform; data; computing; intel; products; infrastructure; nvidia; applications; edge | T4:ai; use; risks; technologies; use ai; business; legal; regulatory; laws; artificial intelligence; artificial; intelligence; products; including; data,data/processed/10k_ai_topic_model_comparison/k_05/ai_topic_assignments.csv,data/processed/10k_ai_topic_model_comparison/k_05/topic_terms.csv,data/processed/10k_ai_topic_model_comparison/k_05/firm_year_topic_distribution.csv
6,6,4254,246,sentence_bert_kmeans:sentence-transformers/all-MiniLM-L6-v2,404,1068,0.094969,0.251058,0:515; 1:710; 2:404; 3:1068; 4:716; 5:841,T0:data; laws; regulations; including; privacy; business; protection; information; laws regulations; regulatory; subject; products; requirements; changes; compliance | T1:cloud; ai; software; intel; solutions; nvidia; computing; data; platform; infrastructure; edge; customers; services; workloads; applications | T2:cybersecurity; attacks; security; cyber; information; systems; threats; risk; threat; risks; including; actors; incidents; ai; data | T3:ai; use; risks; technologies; use ai; legal; regulatory; laws; business; regulations; data; harm; artificial intelligence; artificial; including | T4:ai; products; new; services; technologies; generative; business; development; technology; generative ai; intelligence; capabilities; artificial; artificial intelligence; google | T5:products; including; business; services; changes; revenue; ai; capital; new; technology; financial; future; market; operations; operating,data/processed/10k_ai_topic_model_comparison/k_06/ai_topic_assignments.csv,data/processed/10k_ai_topic_model_comparison/k_06/topic_terms.csv,data/processed/10k_ai_topic_model_comparison/k_06/firm_year_topic_distribution.csv
